ticker,category,kind,gate_category,extreme_date,extreme_price,transition_date,state,reason,pending_date,sublevel_date,native_date,invalidated_date,invalid_reason
SPY,point,3B,3B,2025-08-20,632.95,2025-08-29,confirmed_native,,2025-08-20,,2025-08-29,,
SPY,vertex,top,vertex,2025-08-22,646.5,2025-08-22,pending,,2025-08-22,,,2025-08-27,superseded
SPY,vertex,top,vertex,2025-08-22,646.5,2025-08-27,invalidated,superseded,2025-08-22,,,2025-08-27,superseded
SPY,divergence,top,divergence,2025-08-22,646.5,2025-08-22,pending,,2025-08-22,,,2025-08-27,superseded
SPY,divergence,top,divergence,2025-08-22,646.5,2025-08-27,invalidated,superseded,2025-08-22,,,2025-08-27,superseded
SPY,vertex,top,vertex,2025-08-27,647.37,2025-08-27,pending,,2025-08-27,,,2025-08-28,superseded
SPY,vertex,top,vertex,2025-08-27,647.37,2025-08-28,invalidated,superseded,2025-08-27,,,2025-08-28,superseded
SPY,divergence,top,divergence,2025-08-27,647.37,2025-08-27,pending,,2025-08-27,,,2025-08-28,superseded
SPY,divergence,top,divergence,2025-08-27,647.37,2025-08-28,invalidated,superseded,2025-08-27,,,2025-08-28,superseded
SPY,vertex,top,vertex,2025-08-28,649.48,2025-08-28,pending,,2025-08-28,,,2025-09-05,superseded
SPY,vertex,top,vertex,2025-08-28,649.48,2025-09-05,invalidated,superseded,2025-08-28,,,2025-09-05,superseded
SPY,divergence,top,divergence,2025-08-28,649.48,2025-08-28,pending,,2025-08-28,,,2025-09-05,superseded
SPY,divergence,top,divergence,2025-08-28,649.48,2025-09-05,invalidated,superseded,2025-08-28,,,2025-09-05,superseded
SPY,vertex,bottom,vertex,2025-08-29,643.14,2025-08-29,pending,,2025-08-29,,,2025-09-02,superseded
SPY,vertex,bottom,vertex,2025-08-29,643.14,2025-09-02,invalidated,superseded,2025-08-29,,,2025-09-02,superseded
SPY,vertex,bottom,vertex,2025-09-02,634.92,2025-09-02,pending,,2025-09-02,,,2025-09-05,superseded
SPY,vertex,bottom,vertex,2025-09-02,634.92,2025-09-05,invalidated,superseded,2025-09-02,,,2025-09-05,superseded
SPY,vertex,top,vertex,2025-09-05,652.21,2025-09-05,pending,,2025-09-05,,,2025-09-10,superseded
SPY,vertex,top,vertex,2025-09-05,652.21,2025-09-10,invalidated,superseded,2025-09-05,,,2025-09-10,superseded
