config,year,total_return,sharpe,days
baseline_mom10_10d,2026,0.1339,2.29,125
reversal_5_5d,1997,0.2232,3.51,253
reversal_5_5d,1998,0.0845,1.1,252
reversal_5_5d,1999,0.0402,0.51,252
reversal_5_5d,2000,0.3166,2.06,252
reversal_5_5d,2001,0.0517,0.49,248
reversal_5_5d,2002,0.278,1.89,252
reversal_5_5d,2003,0.0906,0.53,252
reversal_5_5d,2004,0.0437,0.78,252
reversal_5_5d,2005,0.0243,0.58,253
reversal_5_5d,2006,0.0177,0.41,251
reversal_5_5d,2007,0.0075,0.2,251
reversal_5_5d,2008,0.0288,0.28,253
reversal_5_5d,2009,0.0055,0.11,252
reversal_5_5d,2010,0.0102,0.24,252
reversal_5_5d,2011,0.0591,1.05,252
reversal_5_5d,2012,-0.0408,-1.07,250
reversal_5_5d,2013,0.0306,0.96,252
reversal_5_5d,2014,-0.0486,-1.08,252
reversal_5_5d,2015,-0.0332,-0.76,252
reversal_5_5d,2016,0.0304,0.57,252
reversal_5_5d,2017,0.0196,0.51,251
reversal_5_5d,2018,0.0233,0.42,251
reversal_5_5d,2019,0.0261,0.5,252
reversal_5_5d,2020,0.0564,0.42,253
reversal_5_5d,2021,0.0042,0.09,252
reversal_5_5d,2022,0.0338,0.37,251
reversal_5_5d,2023,-0.0898,-1.54,250
reversal_5_5d,2024,0.0601,0.93,252
reversal_5_5d,2025,-0.0417,-0.33,250
reversal_5_5d,2026,-0.003,0.0,125
reversal_5_10d,1997,0.0704,1.22,253
reversal_5_10d,1998,0.1572,2.24,252
reversal_5_10d,1999,-0.0477,-0.6,252
reversal_5_10d,2000,0.0144,0.17,252
reversal_5_10d,2001,0.0182,0.2,248
reversal_5_10d,2002,0.1614,1.16,252
reversal_5_10d,2003,0.1016,0.58,252
reversal_5_10d,2004,0.0567,1.04,252
reversal_5_10d,2005,0.0272,0.73,253
reversal_5_10d,2006,0.0181,0.43,251
reversal_5_10d,2007,-0.0012,-0.01,251
reversal_5_10d,2008,0.1017,0.84,253
reversal_5_10d,2009,0.1886,1.4,252
reversal_5_10d,2010,-0.0373,-0.76,252
reversal_5_10d,2011,0.0519,1.0,252
reversal_5_10d,2012,-0.0056,-0.12,250
reversal_5_10d,2013,0.0249,0.78,252
reversal_5_10d,2014,-0.0464,-1.11,252
reversal_5_10d,2015,0.0322,0.82,252
reversal_5_10d,2016,0.0668,1.23,252
reversal_5_10d,2017,0.0358,0.98,251
reversal_5_10d,2018,0.0503,0.83,251
reversal_5_10d,2019,0.1005,1.79,252
reversal_5_10d,2020,0.0789,0.56,253
reversal_5_10d,2021,0.0431,0.58,252
reversal_5_10d,2022,-0.0231,-0.18,251
reversal_5_10d,2023,-0.0966,-1.75,250
reversal_5_10d,2024,-0.0304,-0.45,252
reversal_5_10d,2025,0.0282,0.32,250
reversal_5_10d,2026,-0.0475,-0.91,125
reversal_10_10d,1997,0.1066,1.78,253
reversal_10_10d,1998,0.2246,2.96,252
reversal_10_10d,1999,-0.0792,-0.95,252
reversal_10_10d,2000,0.019,0.2,252
reversal_10_10d,2001,0.0491,0.52,248
reversal_10_10d,2002,0.0962,0.93,252
reversal_10_10d,2003,0.1656,0.86,252
reversal_10_10d,2004,0.0536,1.1,252
reversal_10_10d,2005,0.0023,0.08,253
reversal_10_10d,2006,0.0028,0.08,251
reversal_10_10d,2007,-0.0142,-0.32,251
reversal_10_10d,2008,0.1126,0.87,253
reversal_10_10d,2009,0.0926,0.77,252
reversal_10_10d,2010,0.0476,0.93,252
reversal_10_10d,2011,0.0407,0.69,252
reversal_10_10d,2012,-0.0261,-0.6,250
reversal_10_10d,2013,-0.0197,-0.57,252
reversal_10_10d,2014,-0.0458,-1.07,252
reversal_10_10d,2015,-0.0144,-0.31,252
reversal_10_10d,2016,0.0426,0.72,252
reversal_10_10d,2017,0.0136,0.39,251
reversal_10_10d,2018,0.0433,0.72,251
reversal_10_10d,2019,0.0822,1.38,252
reversal_10_10d,2020,-0.054,-0.22,253
reversal_10_10d,2021,0.0503,0.63,252
reversal_10_10d,2022,0.0117,0.16,251
reversal_10_10d,2023,-0.0766,-1.23,250
reversal_10_10d,2024,-0.0837,-1.31,252
reversal_10_10d,2025,-0.0573,-0.49,250
reversal_10_10d,2026,-0.1397,-2.63,125
reversal_10_15d,1997,0.0596,1.08,253
reversal_10_15d,1998,0.0535,0.75,252
reversal_10_15d,1999,-0.0131,-0.13,252
reversal_10_15d,2000,0.046,0.38,252
reversal_10_15d,2001,0.3132,2.07,248
reversal_10_15d,2002,0.0621,0.51,252
reversal_10_15d,2003,0.1903,0.97,252
reversal_10_15d,2004,0.0064,0.16,252
reversal_10_15d,2005,-0.0221,-0.57,253
reversal_10_15d,2006,0.0024,0.08,251
reversal_10_15d,2007,-0.0373,-0.91,251
reversal_10_15d,2008,-0.0366,-0.29,253
reversal_10_15d,2009,-0.097,-0.65,252
reversal_10_15d,2010,0.0181,0.46,252
reversal_10_15d,2011,0.0011,0.05,252
reversal_10_15d,2012,-0.0245,-0.58,250
reversal_10_15d,2013,-0.0174,-0.59,252
reversal_10_15d,2014,-0.0199,-0.48,252
reversal_10_15d,2015,-0.0217,-0.42,252
reversal_10_15d,2016,0.0831,1.52,252
reversal_10_15d,2017,-0.0016,-0.03,251
reversal_10_15d,2018,-0.0234,-0.48,251
reversal_10_15d,2019,0.114,1.94,252
reversal_10_15d,2020,0.0535,0.42,253
reversal_10_15d,2021,0.0396,0.57,252
reversal_10_15d,2022,0.0074,0.13,251
reversal_10_15d,2023,-0.0214,-0.31,250
reversal_10_15d,2024,-0.0344,-0.52,252
reversal_10_15d,2025,-0.0938,-0.86,250
reversal_10_15d,2026,-0.0703,-1.56,125
lt_mom_3_21d,1997,-0.1437,-3.02,253
lt_mom_3_21d,1998,-0.1572,-2.47,252
lt_mom_3_21d,1999,0.0311,0.41,252
lt_mom_3_21d,2000,-0.0318,-0.12,252
lt_mom_3_21d,2001,-0.1944,-1.63,248
lt_mom_3_21d,2002,-0.1621,-1.15,252
lt_mom_3_21d,2003,0.0161,0.24,252
lt_mom_3_21d,2004,-0.0727,-1.62,252
lt_mom_3_21d,2005,-0.0387,-0.94,253
lt_mom_3_21d,2006,-0.0365,-0.72,251
lt_mom_3_21d,2007,0.0883,1.65,251
lt_mom_3_21d,2008,-0.1199,-0.83,253
lt_mom_3_21d,2009,-0.2688,-2.03,252
lt_mom_3_21d,2010,0.0238,0.52,252
lt_mom_3_21d,2011,-0.0221,-0.24,252
lt_mom_3_21d,2012,-0.0492,-1.03,250
lt_mom_3_21d,2013,0.0213,0.56,252
lt_mom_3_21d,2014,-0.0506,-1.1,252
lt_mom_3_21d,2015,0.0584,1.15,252
lt_mom_3_21d,2016,-0.0531,-0.84,252
lt_mom_3_21d,2017,0.0213,0.46,251
lt_mom_3_21d,2018,0.0372,0.66,251
lt_mom_3_21d,2019,-0.0534,-0.94,252
lt_mom_3_21d,2020,-0.0762,-0.36,253
lt_mom_3_21d,2021,-0.0154,-0.14,252
lt_mom_3_21d,2022,-0.0226,-0.14,251
lt_mom_3_21d,2023,-0.074,-1.06,250
lt_mom_3_21d,2024,0.061,0.88,252
lt_mom_3_21d,2025,-0.0139,-0.06,250
lt_mom_3_21d,2026,0.0606,0.99,125
lt_mom_6_21d,1997,-0.1597,-3.26,253
lt_mom_6_21d,1998,-0.1614,-2.67,252
lt_mom_6_21d,1999,0.0108,0.17,252
lt_mom_6_21d,2000,0.0344,0.29,252
lt_mom_6_21d,2001,-0.2079,-1.59,248
lt_mom_6_21d,2002,-0.1904,-1.38,252
lt_mom_6_21d,2003,-0.0949,-0.36,252
lt_mom_6_21d,2004,-0.0855,-1.87,252
lt_mom_6_21d,2005,-0.0354,-0.91,253
lt_mom_6_21d,2006,-0.0769,-1.56,251
lt_mom_6_21d,2007,0.0998,1.73,251
lt_mom_6_21d,2008,-0.1499,-1.07,253
lt_mom_6_21d,2009,-0.318,-2.17,252
lt_mom_6_21d,2010,-0.0037,-0.06,252
lt_mom_6_21d,2011,-0.0298,-0.31,252
lt_mom_6_21d,2012,-0.0621,-1.28,250
lt_mom_6_21d,2013,0.0882,2.06,252
lt_mom_6_21d,2014,-0.0511,-1.11,252
lt_mom_6_21d,2015,0.0606,1.02,252
lt_mom_6_21d,2016,-0.0431,-0.56,252
lt_mom_6_21d,2017,0.0281,0.53,251
lt_mom_6_21d,2018,0.0496,0.79,251
lt_mom_6_21d,2019,-0.0809,-1.29,252
lt_mom_6_21d,2020,-0.0347,-0.09,253
lt_mom_6_21d,2021,-0.0605,-0.64,252
lt_mom_6_21d,2022,-0.0058,0.02,251
lt_mom_6_21d,2023,-0.0055,-0.04,250
lt_mom_6_21d,2024,0.0693,0.86,252
lt_mom_6_21d,2025,-0.0442,-0.38,250
lt_mom_6_21d,2026,0.0817,1.18,125
lt_mom_12_1_21d,1997,-0.1116,-2.43,253
lt_mom_12_1_21d,1998,-0.0738,-1.26,252
lt_mom_12_1_21d,1999,0.016,0.23,252
lt_mom_12_1_21d,2000,-0.0396,-0.21,252
lt_mom_12_1_21d,2001,-0.1581,-0.93,248
lt_mom_12_1_21d,2002,-0.0687,-0.41,252
lt_mom_12_1_21d,2003,-0.3061,-1.6,252
lt_mom_12_1_21d,2004,-0.0549,-1.04,252
lt_mom_12_1_21d,2005,-0.0118,-0.28,253
lt_mom_12_1_21d,2006,-0.0442,-0.84,251
lt_mom_12_1_21d,2007,0.1112,1.99,251
lt_mom_12_1_21d,2008,-0.1399,-0.98,253
lt_mom_12_1_21d,2009,-0.2897,-1.91,252
lt_mom_12_1_21d,2010,0.0948,1.66,252
lt_mom_12_1_21d,2011,0.0151,0.26,252
lt_mom_12_1_21d,2012,-0.0152,-0.27,250
lt_mom_12_1_21d,2013,0.0988,2.35,252
lt_mom_12_1_21d,2014,-0.0261,-0.45,252
lt_mom_12_1_21d,2015,0.0921,1.48,252
lt_mom_12_1_21d,2016,-0.1274,-1.71,252
lt_mom_12_1_21d,2017,0.0317,0.61,251
lt_mom_12_1_21d,2018,0.0418,0.66,251
lt_mom_12_1_21d,2019,-0.0147,-0.17,252
lt_mom_12_1_21d,2020,-0.0283,-0.06,253
lt_mom_12_1_21d,2021,-0.0516,-0.49,252
lt_mom_12_1_21d,2022,0.0411,0.42,251
lt_mom_12_1_21d,2023,-0.0751,-0.94,250
lt_mom_12_1_21d,2024,0.1528,1.78,252
lt_mom_12_1_21d,2025,0.0509,0.53,250
lt_mom_12_1_21d,2026,0.1258,1.7,125
