config,rebal_date,n_long,n_short,one_way_turnover,longs,shorts,period_ret_net
lt_mom_6_21d,2021-10-12,97,97,0.3917525773195876,"AIG,AJG,ALB,ALNY,AMD,ANET,AON,APA,APO,ARES,AVB,AXP,BKR,BRO,BX,CBOE,CBRE,CF,CMG,COF","AES,AMGN,ATO,BA,BAX,BBY,BMY,CAH,CAT,CCL,CHRW,CI,CIEN,CLX,CMI,COIN,CPAY,CTVA,DAL,DD",0.009657910409910597
lt_mom_6_21d,2021-11-10,97,97,0.38144329896907214,"ABNB,ACN,ADBE,ALB,ALGN,ALNY,AMAT,AMD,ANET,APA,APH,APO,APP,APTV,ARES,ASML,AVGO,AXON,BLDR,BX","ALL,ALLE,AMGN,ATO,BAX,BIIB,BMY,C,CAH,CAT,CCL,CFG,CHRW,CI,CL,CLX,CMCSA,CMI,CMS,CPAY",-0.000631816094529114
lt_mom_6_21d,2021-12-10,100,100,0.37,"AAPL,ABNB,ABT,ACN,ALB,AMD,ANET,AOS,APH,APO,ARES,AVGO,AZO,BLDR,BRO,BX,CARR,CDNS,CIEN,CMG","ALL,AMGN,AXON,BA,BBY,BIIB,BMY,BXP,C,CAH,CASY,CAT,CCEP,CCL,CHTR,CI,CMCSA,CMI,COHR,CPAY",-0.05066623867593134
lt_mom_6_21d,2022-01-11,100,100,0.4600000000000001,"ABNB,ACGL,ADM,AIG,ALB,AMD,AMP,ANET,AON,APA,APP,ARES,AVGO,AZO,BAC,BG,BKR,BLDR,BRO,BX","ADBE,ADSK,AES,ALGN,ALL,ALLE,ALNY,AMGN,AMT,AMZN,AXON,BBY,BIIB,CAH,CCEP,CCI,CHTR,CMCSA,CPAY,CRL",0.014134412501912275
lt_mom_6_21d,2022-02-10,100,100,0.33999999999999997,"AAPL,ABBV,ADM,AFL,AIG,AMD,AMP,ANET,APA,APP,AVGO,AXP,AZO,BAC,BAX,BG,BKNG,BKR,BLDR,BRO","ADBE,ADSK,ALGN,ALLE,ALNY,AMT,APTV,ASML,AVY,AWK,AXON,BBY,BIIB,BLK,BNY,BR,CARR,CHTR,CLX,CMCSA",0.04339440847735632
lt_mom_6_21d,2022-03-14,100,100,0.28500000000000003,"ABBV,ACGL,ADM,AFL,ANET,APA,ATO,AVGO,AZO,BG,BKR,BLDR,BMY,BRO,BXP,CB,CF,CFG,CHD,CHRW","A,ADBE,ADSK,ALB,ALGN,ALLE,AMT,APP,APTV,ASML,AVY,AXON,BIIB,BLK,BNY,C,CARR,CCEP,CCL,CHTR",-0.009845478724721413
lt_mom_6_21d,2022-04-12,100,100,0.265,"AAPL,ABBV,ADM,AEE,AEP,AFL,AMGN,ANET,APA,ATO,AVGO,AZO,BG,BKR,BMY,BRO,CAH,CB,CF,CHD","A,ADBE,ADSK,ALGN,ALLE,ALNY,APO,APP,APTV,ASML,AVY,AXON,BA,BBY,BIIB,BLK,BNY,C,CARR,CCL",0.05057935752497422
lt_mom_6_21d,2022-05-12,100,100,0.28500000000000003,"ABBV,ACGL,ADM,AEE,AEP,AIZ,ALL,AMGN,APA,ATO,BG,BKR,BMY,CAH,CF,CHD,CHRW,CI,CMS,CNC","ABNB,ADBE,ADSK,ALGN,ALNY,AMAT,AMD,AMZN,APO,APP,APTV,ASML,AXON,BA,BBY,BEN,BLK,C,CCL,CHTR",-0.0008427311471795873
lt_mom_6_21d,2022-06-13,100,100,0.18000000000000002,"ABBV,ADM,AEP,AIZ,ALL,AMCR,AMGN,APA,ATO,BG,BKR,BMY,CAH,CB,CF,CI,CMS,CNP,COP,COR","ABNB,ADBE,ADSK,ALGN,AMAT,AMD,AMZN,AOS,APO,APP,APTV,ARE,ASML,AXON,BA,BBY,BEN,BLK,CARR,CBRE",-0.024967443810598455
lt_mom_6_21d,2022-07-14,100,100,0.24000000000000002,"ABBV,ADM,AEE,AEP,AIZ,AJG,ALL,AMCR,AMGN,AMT,APA,ATO,AZO,BKR,BMY,CAH,CASY,CF,CI,CMS","ABNB,ADSK,ALGN,AMAT,AMD,AMZN,AOS,APP,APTV,ARE,ASML,AXON,BAC,BEN,BKNG,BLK,C,CARR,CCL,CFG",-0.0755376742251983
