ticker,market_date,rr_10,rr_25,rr_40,rr_slope,deviation_class,drive_class,rr_25d,fwd_ret,mom,mom_decile,exc_mom
ORCL,2026-04-10,0.09072061613441629,0.05268141013138439,0.013843891411653764,0.024100638640425553,RICH,PANIC,0.0354128962681759,0.419002100079658,-0.27186923279725816,1,0.16098244642254989
ORCL,2026-04-13,0.03408009700102255,0.005393928085300703,-0.012484542689862876,-0.012912457337114991,NORMAL,STRUCTURAL,0.008162255937189,0.2455982521526796,-0.21609913358855537,1,0.003546180441430069
ORCL,2026-04-14,0.004311407511581544,-0.007591746003349442,-0.01654238848765477,-0.010323650984889188,NORMAL,STRUCTURAL,-0.01238522324309499,0.14619631901840502,-0.20363494234903268,1,-0.05077559358413275
ORCL,2026-04-15,0.015542971181084497,-0.00486562385799405,-0.019441190487853532,-0.0033063641345549843,NORMAL,STRUCTURAL,-0.00585824310790395,0.11748424709969951,-0.1605615700232339,1,-0.06532361427683767
ORCL,2026-04-16,-0.005109233512693101,-0.012613605616641266,-0.017131909219174513,-0.0058601345243016745,NORMAL,STRUCTURAL,-0.01488865169004405,0.0968375014018168,-0.07886989308403491,2,-0.04923156485772384
ORCL,2026-04-17,-0.0009991117476318978,-0.011220247306818032,-0.02325577511206589,-0.0006678400962123465,NORMAL,STRUCTURAL,-0.01069383659998791,0.10219353364560724,-0.07790360811166708,2,0.015259180349626839
ORCL,2026-04-20,0.014644523420786926,0.023501677479538463,0.008548227675849063,0.031441347975056044,NORMAL,STRUCTURAL,0.003711443787965951,0.05085032098209252,-0.0706996703124182,2,-0.13166418824488768
ORCL,2026-04-21,-0.006807027325265724,-0.02478939323409013,-0.034444396821969536,-0.01252575202660633,NORMAL,STRUCTURAL,-0.00645556032178796,0.0016007065187393366,0.006947532236549536,3,-0.05498254083334001
ORCL,2026-04-22,0.027442166333134232,-0.003411276390136053,-0.019261197256906892,0.004931984332980699,NORMAL,STRUCTURAL,-0.001468680094542929,0.0035199999999999676,0.0783298826777088,4,-0.11160224466425131
ORCL,2026-04-23,0.03580895598048839,-0.006439506629723701,-0.02563907577410629,0.004028588767145402,NORMAL,STRUCTURAL,0.005126308406189,0.07652598139323818,-0.01066337411606244,3,0.014932934954050125
