asset_class,deviation,drive,n,sep_naive,raw_abs,base_abs,hit_neg,sep_IS,n_IS,sep_OOS,n_OOS,sep_nonoverlap,eff_n,t_stat
index_macro,RICH,CHASE,89,-0.014810221277927124,0.03954562531025625,0.015277461110579385,0.550561797752809,0.020573413900508476,62,-0.09606153168766814,27,-0.032638965563850604,8,-0.9514934105157102
index_macro,RICH,PANIC,282,-0.0630858994850226,0.016257391326150925,0.015277461110579385,0.8900709219858156,-0.019459811302370525,85,-0.08190933854860348,197,-0.05177248500884909,28,-4.9703570053236925
index_macro,RICH,STRUCTURAL,322,-0.036312669684572994,0.006060106940606554,0.015277461110579385,0.6770186335403726,-0.013121992271766355,234,-0.097978789168627,88,-0.0394395844820318,44,-4.294382371772228
sector_etf,CHEAP,CHASE,38,0.023313203926661717,0.058423121417439806,0.034311645121576605,0.2894736842105263,0.14348323527284346,14,-0.046785981025277645,24,-0.05295510045451866,5,-0.7271023116432693
sector_etf,CHEAP,PANIC,35,0.0012003294270975437,0.021451970209583105,0.034311645121576605,0.5428571428571428,-0.010904547416462037,22,0.02168550562389068,13,-0.020314901891188616,7,-0.6826337348813543
sector_etf,CHEAP,STRUCTURAL,87,-0.027746793329442087,0.024921895975314863,0.034311645121576605,0.5862068965517241,0.00448431544427105,45,-0.06228012415842045,42,-0.009813743376029084,22,-0.6416973900778775
sector_etf,NORMAL,CHASE,30,-0.07538283569094986,0.005374804319489294,0.034311645121576605,0.6666666666666666,,0,-0.07538283569094986,30,-0.07136713164415835,3,-0.935024428641574
sector_etf,NORMAL,PANIC,114,-0.023917435341433504,0.0134889643770159,0.034311645121576605,0.631578947368421,-0.019293329883495875,104,-0.0720081321039848,10,-0.023719500530037373,22,-1.3529191606640316
sector_etf,NORMAL,STRUCTURAL,487,-0.018793682059990095,0.032442852471086,0.034311645121576605,0.6139630390143738,-0.023838225967768533,403,0.005408117878518341,84,-0.028854975981014937,43,-2.635696459997242
sector_etf,RICH,CHASE,6,-0.07119318085376783,-0.027880886709156043,0.034311645121576605,0.6666666666666666,,0,-0.07119318085376783,6,-0.048599524207542905,2,-0.5210849081483517
sector_etf,RICH,PANIC,184,-0.0183570180571455,0.05010932416618832,0.034311645121576605,0.592391304347826,-0.031968990211466895,64,-0.011097299574840753,120,-0.023528666963739356,23,-1.6035465089822385
sector_etf,RICH,STRUCTURAL,233,-0.01520586519281917,0.0427628717091691,0.034311645121576605,0.6008583690987125,-0.02463797644602007,142,-0.00048762565485732467,91,-0.007740252581810917,35,-0.7611568946295323
single_name,CHEAP,CHASE,1022,0.016840609741060754,0.04467872237436754,0.05846284107713974,0.4657534246575342,0.016515838182871948,713,0.017590001718370208,309,0.04123571572765256,165,2.186443549573527
single_name,CHEAP,PANIC,548,-0.01806773907437514,0.010534713455572652,0.05846284107713974,0.5675182481751825,-0.015821829736331,362,-0.02243880993659009,186,-0.031190795300023895,126,-2.3097294021312793
single_name,CHEAP,STRUCTURAL,1564,-0.0046229546574954455,0.036640711392204636,0.05846284107713974,0.5556265984654731,0.004198360083360333,1205,-0.03423210302164924,359,-0.008004679276382267,331,-0.9203157840401399
single_name,NORMAL,CHASE,1859,0.06287207371287969,0.10339612926863063,0.05846284107713974,0.4373318988703604,0.06640726223011449,1289,0.05487758599583467,570,0.04353797783904119,245,2.9350646449284645
single_name,NORMAL,PANIC,1527,-0.00973502094807992,0.039143322112589495,0.05846284107713974,0.6110019646365422,-0.02765493028021004,1019,0.026210623952393687,508,-1.4793107671119486e-05,262,-0.0012116388109465175
single_name,NORMAL,STRUCTURAL,7058,0.003591259239189454,0.05607410249787988,0.05846284107713974,0.5573816945310286,0.0040502449340535825,5592,0.0018404761520951689,1466,-0.0010381754495079728,679,-0.15298433256217853
single_name,RICH,CHASE,794,0.060286157030435585,0.11626014281753719,0.05846284107713974,0.4521410579345088,0.06109340616428648,307,0.05977727513291561,487,0.02651347326386012,156,1.5554399161848853
single_name,RICH,PANIC,2387,-0.02130273307486039,0.05346308324235319,0.05846284107713974,0.6497695852534562,-0.05174575132153803,700,-0.008670775296155975,1687,-0.012001112013809727,295,-1.2890007298157686
single_name,RICH,STRUCTURAL,2947,-0.006104493006776652,0.05960121842737832,0.05846284107713974,0.6138445877163217,-0.021047626217936818,1328,0.006152752764947065,1619,0.002602187445861625,468,0.33215110503570394
