market_date,mean_rrz,panic,chase,n,net_fear,r_fwd,r_past,r_1d,d_rrz,d_fear,fear_q
2025-07-09,0.014158368599106961,0.0,0.0,74,0.0,0.013973015415184475,0.040655016008537936,0.0059967114808006095,-0.9759533131044993,0.0,2
2025-07-10,0.7132089500613178,0.0,0.0,74,0.0,0.010274519829982953,0.037706440273263864,0.0028202416434319755,0.6990505814622109,0.0,2
2025-07-11,1.151780390062942,0.0,0.0,74,0.0,0.02174401077579291,0.03701609684714646,-0.0035153878111917614,0.4385714400016242,0.0,2
2025-07-14,-0.7517674448387498,0.0,0.0,74,0.0,0.017781405547286466,0.034881987577639606,0.0019082133350436514,-1.9035478349016919,0.0,2
2025-07-15,-0.08096298943646733,0.0,0.0,74,0.0,0.03303115054489347,0.04211055276381903,-0.004273299082921178,0.6708044554022825,0.0,2
2025-07-16,-0.9015509919220702,0.0,0.0,74,0.0,0.033113325430136786,0.03574035972655487,0.003343298935930994,-0.8205880024856029,0.0,2
2025-07-17,-0.03402209251978524,0.0,0.0,74,0.0,0.0269250366218714,0.051060197814335684,0.006119637307359538,0.867528899402285,0.0,2
2025-07-18,-0.04254816095033519,0.0,0.0,74,0.0,0.025271678511106233,0.0504485806106052,-0.0007324374243677934,-0.008526068430549948,0.0,2
2025-07-21,-0.4809789253658261,0.0,0.0,74,0.0,0.023108608871288405,0.058036615736689834,0.0018961725995090273,-0.4384307644154909,0.0,2
2025-07-22,0.5790372719948844,0.0,0.0,74,0.0,0.01741246064306834,0.0478380404898775,0.00014313660002862605,1.0600161973607105,0.0,2
2025-07-23,0.29075712162264833,0.0,0.0,74,0.0,0.00614938269658305,0.045205840667128294,0.008507457939764151,-0.2882801503722361,0.0,2
2025-07-24,0.7562693075600085,0.0,0.0,74,0.0,0.0017811544402761559,0.04496639873501107,0.0003311206067388994,0.4655121859373602,0.0,2
2025-07-25,-0.6764221486368529,0.0,0.0,74,0.0,0.01288651703029342,0.041234249105202014,0.004224330884902816,-1.4326914561968613,0.0,2
