market_date,mean_rrz,panic,chase,n,net_fear,VIX,VIX3M,VVIX,r_fwd,vix_fwd_chg,d_fear,d_rrz,d_vix,fear_resid
2025-12-17,0.42141176984243,0.23809523809523808,0.17857142857142858,84,0.05952380952380951,17.62,20.08,99.89,0.03017575215966639,-0.09988649262202054,0.047619047619047616,0.05320777407796262,1.1400000000000006,0.05163844215280919
2025-12-18,0.6248589313580184,0.2261904761904762,0.21428571428571427,84,0.011904761904761918,16.87,19.59,92.61,0.0016408709920616715,0.1908713692946058,-0.04761904761904759,0.2034471615155884,-0.75,0.027815575691370664
2025-12-19,0.6508105810056126,0.10714285714285714,0.2619047619047619,84,-0.15476190476190477,14.91,18.25,83.87,0.007067397405192466,0.1334674714956403,-0.16666666666666669,0.02595164964759422,-1.9600000000000009,-0.07666373755007744
2025-12-22,0.5784502693309753,0.09523809523809523,0.27380952380952384,84,-0.1785714285714286,14.08,17.79,81.97,0.006059898076894887,0.11079545454545459,-0.023809523809523836,-0.0723603116746373,-0.8300000000000001,-0.07413882087851387
2025-12-23,0.3824284293016437,0.17857142857142858,0.21428571428571427,84,-0.0357142857142857,14.0,17.84,85.14,0.0018460375603233103,0.14928571428571424,0.1428571428571429,-0.1960218400293316,-0.08000000000000007,0.07125658130210732
2025-12-24,0.389843124762858,0.17857142857142858,0.21428571428571427,84,-0.0357142857142857,13.47,17.77,85.24,0.003403922477476229,0.19896065330363766,0.0,0.00741469546121426,-0.5299999999999994,0.08807254932015113
2025-12-26,0.20603397864034076,0.21428571428571427,0.20238095238095238,84,0.01190476190476189,13.6,17.77,84.24,0.007503875070620447,0.20220588235294135,0.04761904761904759,-0.18380914612251723,0.129999999999999,0.13156692553854646
2025-12-29,0.35860775708561066,0.2619047619047619,0.14285714285714285,84,0.11904761904761907,14.2,17.82,85.88,0.01100530638947439,0.15140845070422548,0.10714285714285718,0.1525737784452699,0.5999999999999996,0.21967283775531637
2025-12-30,0.228660583053476,0.23809523809523808,0.15476190476190477,84,0.08333333333333331,14.33,17.77,87.13,0.01023274770381799,0.17794836008374038,-0.035714285714285754,-0.12994717403213465,0.13000000000000078,0.17983388064037836
2025-12-31,0.3420119753956078,0.2976190476190476,0.13095238095238096,84,0.16666666666666666,14.95,18.18,92.67,0.014737799155326137,0.1665551839464885,0.08333333333333334,0.11335139234213179,0.6199999999999992,0.24349570421675484
2026-01-02,0.8669498743696695,0.34523809523809523,0.13095238095238096,84,0.21428571428571427,14.51,18.02,90.1,0.017916477597084146,0.12611991729841487,0.047619047619047616,0.5249378989740617,-0.4399999999999995,0.3050751781149331
2026-01-05,0.6871702978727364,0.3333333333333333,0.14285714285714285,84,0.19047619047619047,14.9,18.32,90.51,0.002631885069504847,0.20805369127516782,-0.023809523809523808,-0.1797795764969331,0.39000000000000057,0.26889164010345257
2026-01-06,0.6543952389037517,0.2857142857142857,0.19047619047619047,84,0.09523809523809523,14.75,18.15,89.01,-0.0081236177563202,0.2637288135593221,-0.09523809523809523,-0.032775058968984694,-0.15000000000000036,0.1784127810968792
2026-01-07,0.48362696154783497,0.30952380952380953,0.19047619047619047,84,0.11904761904761907,15.38,18.59,91.86,-0.01734389048406282,0.4154746423927178,0.023809523809523836,-0.17076827735591676,0.6300000000000008,0.18223351273401134
2026-01-08,0.5579261823577463,0.34523809523809523,0.2261904761904762,84,0.11904761904761904,15.45,18.39,89.85,0.0016098388710823475,0.14951456310679623,-2.7755575615628914e-17,0.0742992208099113,0.06999999999999851,0.1800125358259678
2026-01-09,0.4647539927011536,0.27380952380952384,0.20238095238095238,84,0.07142857142857145,14.49,17.88,88.19,-0.00017289322402636031,0.19806763285024154,-0.04761904761904759,-0.09317218965659269,-0.9599999999999991,0.16285260008865987
2026-01-12,0.644195881239062,0.2619047619047619,0.2261904761904762,84,0.035714285714285726,15.12,18.23,93.13,-0.004373093963979446,0.17658730158730163,-0.035714285714285726,0.17944188853790843,0.629999999999999,0.10714952220198251
2026-01-13,0.6684938317718769,0.2261904761904762,0.25,84,-0.023809523809523808,15.98,18.85,101.07,-0.0026089337965030657,0.10450563204004992,-0.059523809523809534,0.024297950532814916,0.8600000000000012,0.020339424950781143
2026-01-14,0.8680465694082368,0.20238095238095238,0.27380952380952384,84,-0.07142857142857145,16.75,19.37,104.85,-0.0131670432817661,0.24298507462686558,-0.047619047619047644,0.19955273763635983,0.7699999999999996,-0.05171036865674511
2026-01-15,0.3592166869542024,0.2619047619047619,0.30952380952380953,84,-0.047619047619047616,15.84,18.9,100.9,-0.015153703917716421,0.3005050505050506,0.023809523809523836,-0.5088298824540344,-0.9100000000000001,0.0009718549573443647
2026-01-16,0.7127026809142817,0.2619047619047619,0.32142857142857145,84,-0.059523809523809534,15.86,18.99,102.05,-0.012737472168406372,0.2793190416141236,-0.011904761904761918,0.3534859939600793,0.019999999999999574,-0.011567471778287097
2026-01-20,1.1097745321430894,0.2619047619047619,0.27380952380952384,84,-0.011904761904761918,20.09,21.28,117.05,0.012854570678000998,-0.023394723743155765,0.047619047619047616,0.3970718512288077,4.23,-0.09815888588815486
2026-01-21,1.0647656696186527,0.30952380952380953,0.2619047619047619,84,0.047619047619047616,16.9,19.36,102.57,-0.0013422818791946067,0.19704142011834325,0.059523809523809534,-0.0450088625244367,-3.1900000000000013,0.0625780141593521
2026-01-22,0.6117093948046648,0.2976190476190476,0.25,84,0.047619047619047616,15.64,18.75,96.12,0.0006531394234954302,0.22058823529411753,0.0,-0.4530562748139879,-1.259999999999998,0.10255559850413537
2026-01-23,0.7402661442597596,0.2976190476190476,0.27380952380952384,84,0.02380952380952378,16.09,19.15,101.83,-0.00992411821888195,0.3057799875699194,-0.023809523809523836,0.12855674945509477,0.4499999999999993,0.06446836600004607
2026-01-26,0.5214924440424952,0.30952380952380953,0.2976190476190476,84,0.011904761904761918,16.15,19.07,99.75,-0.007766373623200984,0.2105263157894739,-0.011904761904761862,-0.2187737002172644,0.05999999999999872,0.05065990960267558
2026-01-27,0.7394605065068193,0.27380952380952384,0.2857142857142857,84,-0.011904761904761862,16.35,19.22,101.26,-0.0033645343570720687,0.09663608562691128,-0.02380952380952378,0.2179680624643241,0.20000000000000284,0.020504737484455915
2026-01-28,0.7937565619988899,0.2857142857142857,0.32142857142857145,84,-0.035714285714285754,16.35,19.3,100.46,-0.0088004371458974,0.13944954128440346,-0.02380952380952389,0.054296055492070616,0.0,-0.0033047863250679765
2026-01-29,0.7943578531034496,0.2976190476190476,0.2976190476190476,84,0.0,16.88,19.67,101.76,-0.011598755114978876,0.17654028436018954,0.035714285714285754,0.0006012911045597535,0.5299999999999976,0.01559353137117403
2026-01-30,0.8113453882272724,0.2976190476190476,0.27380952380952384,84,0.02380952380952378,17.44,20.07,108.18,-0.008078384901079594,0.22935779816513757,0.02380952380952378,0.016987535123822783,0.5600000000000023,0.02163523991634969
2026-02-02,0.6981055165817629,0.34523809523809523,0.27380952380952384,84,0.0714285714285714,16.34,19.37,98.77,-0.02168504910772051,0.4424724602203183,0.047619047619047616,-0.11323987164550953,-1.1000000000000014,0.104155353233224
2026-02-03,1.1199801563867733,0.40476190476190477,0.27380952380952384,84,0.13095238095238093,18.0,20.35,103.82,-0.006381158180209678,0.17499999999999982,0.059523809523809534,0.4218746398050104,1.6600000000000001,0.11101028179485872
2026-02-04,1.0960029785829808,0.4880952380952381,0.20238095238095238,84,0.2857142857142857,18.64,20.62,106.16,-0.007111732901966095,0.2741416309012876,0.15476190476190477,-0.023977177803792493,0.6400000000000006,0.24546611196893697
2026-02-05,1.7367076902502763,0.47619047619047616,0.19047619047619047,84,0.2857142857142857,21.77,22.45,117.07,-0.007732947669785384,0.35461644464859887,0.0,0.6407047116672955,3.129999999999999,0.1461567159378483
2026-02-06,1.7702456542752703,0.42857142857142855,0.19047619047619047,84,0.23809523809523808,17.76,20.37,100.99,-0.017882482407112432,0.43581081081081074,-0.047619047619047616,0.03353796402499398,-4.009999999999998,0.22576791690815073
2026-02-09,1.3207113539479554,0.39285714285714285,0.20238095238095238,84,0.19047619047619047,17.36,20.09,98.6,-0.02416600619641196,0.4360599078341014,-0.047619047619047616,-0.4495343003273149,-0.40000000000000213,0.19084016590649466
2026-02-10,1.103909122053622,0.42857142857142855,0.20238095238095238,84,0.22619047619047616,17.79,20.43,100.81,-0.02281396289660742,0.36200112422709396,0.0357142857142857,-0.21680223189433345,0.4299999999999997,0.21291130775708456
2026-02-11,1.3121131861822917,0.44047619047619047,0.2261904761904762,84,0.21428571428571427,17.65,20.37,102.15,-0.03742990924330902,0.5461756373937678,-0.01190476190476189,0.20820406412866976,-0.14000000000000057,0.2054484996684097
2026-02-12,1.3208198039116883,0.4642857142857143,0.20238095238095238,84,0.2619047619047619,20.82,22.17,112.3,-0.027859732558310202,0.3059558117195005,0.047619047619047644,0.008706617729396626,3.1700000000000017,0.15248902159462935
2026-02-13,1.760608282636066,0.47619047619047616,0.17857142857142858,84,0.29761904761904756,20.6,22.17,115.52,-0.018657865786578687,0.14126213592233006,0.03571428571428564,0.43978847872437776,-0.21999999999999886,0.1951835204484803
2026-02-17,1.4558027062583163,0.4880952380952381,0.17857142857142858,84,0.30952380952380953,20.29,21.6,107.09,-0.017661272607454093,0.10251355347461821,0.011904761904761973,-0.30480557637774974,-0.3100000000000023,0.21692403723172082
2026-02-18,1.355055352594267,0.39285714285714285,0.20238095238095238,84,0.19047619047619047,19.62,21.39,108.69,-0.03622375380669984,0.2787971457696228,-0.11904761904761907,-0.1007473536640493,-0.6699999999999982,0.11913434001823253
