bucket,ticker,n,sep_naive,sep_nonoverlap,eff_n,t_stat
single_name/NORMAL/CHASE,IBM,30,-0.020169235030468444,-0.030340052443968164,5,-0.7628415774860973
single_name/NORMAL/CHASE,META,3,-0.01687740642833314,-0.04130772750684626,1,
single_name/NORMAL/CHASE,TSLA,32,-0.012289703669157295,0.012014931260535445,4,0.45150541863024796
single_name/NORMAL/CHASE,NET,4,0.0016365566700406523,0.02255999875406878,2,0.609471124741642
single_name/NORMAL/CHASE,FLY,15,0.002568180452055461,0.07302528175838423,2,0.3356680997627
single_name/NORMAL/CHASE,ASTS,56,0.007694623199762429,0.10098666523457832,7,0.7675168136008643
single_name/NORMAL/CHASE,HD,14,0.008990318161469304,-0.008602553245952119,2,-0.2187581777301307
single_name/NORMAL/CHASE,OXY,32,0.009676068576492742,0.047491798115116036,4,0.6027424637517453
single_name/NORMAL/CHASE,KLAC,7,0.00993039564982548,0.06543611691520201,2,0.7705704075821356
single_name/NORMAL/CHASE,AVGO,11,0.014164506528659488,0.005029803395386401,3,0.09064836373328906
single_name/NORMAL/CHASE,JNJ,27,0.02060020930390232,0.032751767446974916,3,0.6088201466509823
single_name/NORMAL/CHASE,SBUX,20,0.021870065472516916,-0.03882111622294515,4,-1.3569243848363894
single_name/NORMAL/CHASE,TXN,12,0.024889181469689294,-0.013301198003528594,2,-0.06690165969823868
single_name/NORMAL/CHASE,TGT,43,0.03776081839712819,0.044822592785088225,4,1.738395738150179
single_name/NORMAL/CHASE,LLY,65,0.04297075671773375,0.02537339380652101,5,0.36073746916625754
single_name/NORMAL/CHASE,TSEM,17,0.05294379558332513,0.07291261043269365,3,0.3924312951702879
single_name/NORMAL/CHASE,HOOD,16,0.05785065604363519,0.09787433863226555,2,1.2913604061372563
single_name/NORMAL/CHASE,NOK,71,0.0611966909981897,0.05594320929631382,7,1.159926977200408
single_name/NORMAL/CHASE,FN,20,0.061709442341451384,-0.06110497197511325,2,-2.0004122120967716
single_name/NORMAL/CHASE,GLW,32,0.06232588188445018,0.08988469827042556,5,0.9101259125387788
single_name/NORMAL/CHASE,RIOT,39,0.06856470630654263,-0.022744231493710788,3,-0.15258366488678266
single_name/NORMAL/CHASE,LRCX,11,0.07077802197597792,0.08997312073764653,2,1.0392089185249216
single_name/NORMAL/CHASE,ASML,49,0.07836844854749508,0.05462809786282774,6,3.6487613115750266
single_name/NORMAL/CHASE,AMD,43,0.09313586493851835,0.10339383938722546,5,0.7647624947037517
single_name/NORMAL/CHASE,PANW,11,0.09670942151376175,0.05049278696250361,2,0.3311813521010322
single_name/NORMAL/CHASE,APP,3,0.09937955660906006,0.08907277988851495,1,
single_name/NORMAL/CHASE,CRDO,4,0.12217938199662497,0.0441945819741853,1,
single_name/NORMAL/CHASE,AMAT,20,0.12377986902937126,0.10429301751100724,3,1.9383665835692727
single_name/NORMAL/CHASE,INTC,87,0.1312009936132119,0.05517333567598254,8,0.6205226809860015
single_name/NORMAL/CHASE,WDC,54,0.14113977799080166,0.19461258624988767,5,2.929726209135692
single_name/NORMAL/CHASE,NBIS,22,0.16165178298557156,0.036445606449471854,4,0.44037739661682157
single_name/NORMAL/CHASE,COHR,32,0.1669812273997583,0.14272835211808246,4,1.6257738756783635
single_name/NORMAL/CHASE,ARM,22,0.1848785499593851,0.12146054340587296,4,0.7404037218380214
single_name/NORMAL/CHASE,RKLB,14,0.18738371979691565,-0.017405086049268752,3,-0.07818344661924874
single_name/NORMAL/CHASE,HUT,41,0.19064375281884077,0.15418627716922095,6,1.5579138431888455
single_name/NORMAL/CHASE,MU,32,0.2101214566560718,0.1507040330914046,3,1.650011564482383
single_name/NORMAL/CHASE,LITE,5,0.24559497904608993,0.21913440890993086,3,0.9770095304654001
