pricing,delta,dte,fee,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar5,worst_month,win_rate,breach_rate,mean_credit,n_trades
skew,0.05,30,0.005,0.04173932643126488,0.033757168676875254,0.04337427614980367,-0.08170595014862536,0.5108480637620626,-0.003519197379324096,-0.0156424133060159,0.9833169774288518,0.016683022571148183,0.5797793383149442,1019
skew,0.05,30,0.01,0.03654347561255755,0.03375649887849278,-0.10477180063606106,-0.08190635556304937,0.4461616606104192,-0.0035389692161189473,-0.01601344159371587,0.9833169774288518,0.016683022571148183,0.5797793383149442,1019
skew,0.05,30,0.015,0.03137343765038869,0.03375582908011034,-0.2529237565836291,-0.08210672121686069,0.382105596051327,-0.003558741052913692,-0.01638433738971401,0.9833169774288518,0.016683022571148183,0.5797793383149442,1019
skew,0.05,42,0.0,0.050098297810800885,0.043553531135315016,0.22579059290481698,-0.10069886290660635,0.4975060925689379,-0.004352665367255757,-0.016527617094552527,0.9852507374631269,0.014749262536873156,0.7658189032947951,1017
skew,0.05,42,0.005,0.0448608588716497,0.04355266697795123,0.11096883805535504,-0.10109133321938946,0.44376562701267575,-0.004372420274688914,-0.016956821170708736,0.9852507374631269,0.014749262536873156,0.7658189032947951,1017
skew,0.05,42,0.01,0.03964943888273331,0.04355180282058747,-0.0038574733944136998,-0.10150768250945041,0.3906053010228258,-0.004392175182122174,-0.01738584644554153,0.9852507374631269,0.014749262536873156,0.7658189032947951,1017
skew,0.05,42,0.015,0.03446390909760311,0.04355093866322365,-0.1186883417144429,-0.10208390021119496,0.3376037653959429,-0.004411930089555316,-0.01781469298998739,0.9852507374631269,0.014749262536873156,0.7658189032947951,1017
skew,0.05,63,0.0,0.05306437928713459,0.047572886233929704,0.2698309789281518,-0.09399040531803216,0.5645722997744551,-0.004938534439221829,-0.011669347356293769,0.9861660079051383,0.014822134387351778,1.1016244979327956,1012
skew,0.05,63,0.005,0.04781214680850909,0.04757194232745686,0.16471032574229472,-0.09420609834925275,0.5075270884402182,-0.004958277722268641,-0.012041865799001905,0.9861660079051383,0.014822134387351778,1.1016244979327956,1012
skew,0.05,63,0.01,0.042586006772596274,0.047570998420983925,0.05958550093581219,-0.094421744308817,0.4510190643514689,-0.004978021005315542,-0.012414251220526085,0.9861660079051383,0.014822134387351778,1.1016244979327956,1012
skew,0.05,63,0.015,0.037385830069293746,0.04757005451451105,-0.04554349573844962,-0.0946373432060621,0.3950431066929926,-0.004997764288362343,-0.012786503665725979,0.9861660079051383,0.014822134387351778,1.1016244979327956,1012
skew,0.1,21,0.0,0.05140678421261491,0.03834386002098049,0.2834526359690603,-0.10372427358676906,0.49560997088701036,-0.004835719399390659,-0.03123467966266158,0.9627815866797258,0.04211557296767875,0.9012474420139799,1021
skew,0.1,21,0.005,0.04616281910572617,0.038343099230107064,0.15303037613107975,-0.10390209019510799,0.4442915346461399,-0.00485546472241841,-0.031676678472084774,0.9627815866797258,0.04211557296767875,0.9012474420139799,1021
skew,0.1,21,0.01,0.04094490537026818,0.03834233843923367,0.022602940600486596,-0.10407987505268701,0.3933988712951584,-0.004875210045446262,-0.03211848438379861,0.9627815866797258,0.04211557296767875,0.9012474420139799,1021
skew,0.1,21,0.015,0.03575291409936643,0.03834157764836024,-0.10782967092936334,-0.10425762816454387,0.3429285197524314,-0.004894955368474016,-0.0325600974781588,0.9627815866797258,0.04211557296767875,0.9012474420139799,1021
skew,0.1,30,0.0,0.05079498983499309,0.040617991475002696,0.2554235816069642,-0.10740204422774402,0.4729424863393034,-0.004961701741237872,-0.03820949092518533,0.9607458292443573,0.03925417075564279,1.1449557453343298,1019
skew,0.1,30,0.005,0.04555407609548934,0.0406171855624734,0.13230343968845673,-0.10759683794810537,0.42337746131034404,-0.004981444564615958,-0.03864830747961834,0.9607458292443573,0.03925417075564279,1.1449557453343298,1019
skew,0.1,30,0.01,0.040339198568599244,0.040616379649944134,0.009178411855452593,-0.10779159302198738,0.3742332536116322,-0.005001187387994177,-0.03908693252514672,0.9607458292443573,0.03925417075564279,1.1449557453343298,1019
skew,0.1,30,0.015,0.035150228422457186,0.04061557373741485,-0.11395150218152165,-0.10798630945628951,0.3255063405670441,-0.00502093021137228,-0.039525366141547336,0.9607458292443573,0.03925417075564279,1.1449557453343298,1019
skew,0.1,42,0.0,0.052812746412173484,0.04711054166147301,0.26698263906424774,-0.13150573945586919,0.40160031517024725,-0.005711573304658789,-0.05088878107461581,0.9714847590953786,0.03048180924287119,1.4514638817586165,1017
skew,0.1,42,0.005,0.04756176897016773,0.0471096069285035,0.16083032795769653,-0.13221197235393445,0.3597387447094715,-0.005731301249632853,-0.05132181270773528,0.9714847590953786,0.03048180924287119,1.4514638817586165,1017
skew,0.1,42,0.01,0.042336877736007805,0.04710867219553405,0.05467380429007375,-0.13291764496095415,0.3185196197874607,-0.005751029194607028,-0.05175465535661239,0.9714847590953786,0.03048180924287119,1.4514638817586165,1017
skew,0.1,42,0.015,0.03713794363044198,0.047107737462564574,-0.05148693218818095,-0.13362275771032495,0.2779312765790371,-0.005770757139581104,-0.05218730909997238,0.9714847590953786,0.03048180924287119,1.4514638817586165,1017
