front_dte,long_dte,short_delta,front_vol_mult,year,year_sharpe,stress
0,14,0.1,1.0,2010,-5.872353454844218,0
0,14,0.1,1.0,2011,-4.839304277505165,1
0,14,0.1,1.0,2012,-5.177952426804893,0
0,14,0.1,1.0,2013,-5.97316351575043,0
0,14,0.1,1.0,2014,-4.737374678095883,0
0,14,0.1,1.0,2015,-5.028800650202043,1
0,14,0.1,1.0,2016,-4.7628436421423235,0
0,14,0.1,1.0,2017,-3.633653210813323,0
0,14,0.1,1.0,2018,-6.149256960127072,1
0,14,0.1,1.0,2019,-4.959214070705304,0
0,14,0.1,1.0,2020,-5.262290337464794,1
0,14,0.1,1.0,2021,-3.0475375439533803,0
0,14,0.1,1.0,2022,-4.183705921670452,1
0,14,0.1,1.0,2023,-4.035024272447043,0
0,14,0.1,1.0,2024,-4.560561570540158,0
0,14,0.1,1.0,2025,-4.707765955768918,0
0,14,0.1,1.0,2026,-5.352490351260074,0
0,14,0.1,1.15,2010,-5.103080218097029,0
0,14,0.1,1.15,2011,-3.283557015915271,1
0,14,0.1,1.15,2012,-3.679066664286638,0
0,14,0.1,1.15,2013,-5.003836106785701,0
0,14,0.1,1.15,2014,-3.491838672262977,0
0,14,0.1,1.15,2015,-3.838263962045383,1
0,14,0.1,1.15,2016,-3.7982073600195387,0
0,14,0.1,1.15,2017,-2.3614795279161953,0
0,14,0.1,1.15,2018,-4.874004695892947,1
0,14,0.1,1.15,2019,-3.6642416932765745,0
0,14,0.1,1.15,2020,-4.307303807909795,1
0,14,0.1,1.15,2021,-1.801370431197405,0
0,14,0.1,1.15,2022,-2.873500796724604,1
0,14,0.1,1.15,2023,-2.915488496296086,0
0,14,0.1,1.15,2024,-3.2103431718416724,0
0,14,0.1,1.15,2025,-3.470797970541419,0
0,14,0.1,1.15,2026,-4.437017730113881,0
0,14,0.1,1.3,2010,-4.850860046234184,0
0,14,0.1,1.3,2011,-1.6237271020967283,1
0,14,0.1,1.3,2012,-2.382097170155022,0
0,14,0.1,1.3,2013,-3.938210350352173,0
0,14,0.1,1.3,2014,-2.260240693924549,0
0,14,0.1,1.3,2015,-2.671845174624311,1
0,14,0.1,1.3,2016,-2.817257125420001,0
0,14,0.1,1.3,2017,-1.178640874699612,0
0,14,0.1,1.3,2018,-3.622541795808184,1
0,14,0.1,1.3,2019,-2.3011886420991234,0
0,14,0.1,1.3,2020,-3.4964760159070747,1
0,14,0.1,1.3,2021,-0.7339592770556163,0
0,14,0.1,1.3,2022,-1.4158561733141297,1
0,14,0.1,1.3,2023,-1.7066601962582917,0
0,14,0.1,1.3,2024,-1.9391516925018206,0
0,14,0.1,1.3,2025,-2.2698042622743984,0
0,14,0.1,1.3,2026,-3.5708261000417525,0
0,14,0.1,1.5,2010,-4.289404881890419,0
0,14,0.1,1.5,2011,0.3809202329526296,1
0,14,0.1,1.5,2012,-0.7195005369598958,0
0,14,0.1,1.5,2013,-2.352647801246676,0
0,14,0.1,1.5,2014,-0.5216427761961524,0
0,14,0.1,1.5,2015,-1.039911362895778,1
0,14,0.1,1.5,2016,-1.472153435988209,0
0,14,0.1,1.5,2017,0.086171598343252,0
0,14,0.1,1.5,2018,-1.967539374951088,1
0,14,0.1,1.5,2019,-0.6767224988362861,0
0,14,0.1,1.5,2020,-2.6352332420025113,1
0,14,0.1,1.5,2021,0.451702125276935,0
0,14,0.1,1.5,2022,0.7050801949193928,1
0,14,0.1,1.5,2023,-0.21371796581768424,0
0,14,0.1,1.5,2024,-0.34749079841918645,0
0,14,0.1,1.5,2025,-0.8179544976009052,0
0,14,0.1,1.5,2026,-2.4450258165424135,0
0,14,0.2,0.85,2010,-6.638490396729158,0
0,14,0.2,0.85,2011,-7.040810909409498,1
0,14,0.2,0.85,2012,-7.618460318951916,0
0,14,0.2,0.85,2013,-6.8993277710563845,0
0,14,0.2,0.85,2014,-6.811989204087605,0
0,14,0.2,0.85,2015,-6.832308764914049,1
0,14,0.2,0.85,2016,-6.799423266958093,0
0,14,0.2,0.85,2017,-4.949381823620661,0
0,14,0.2,0.85,2018,-7.907514004628035,1
0,14,0.2,0.85,2019,-6.962961538186817,0
0,14,0.2,0.85,2020,-6.6529412239724435,1
0,14,0.2,0.85,2021,-4.907511091732642,0
0,14,0.2,0.85,2022,-5.560214386736523,1
0,14,0.2,0.85,2023,-5.818771815847443,0
0,14,0.2,0.85,2024,-6.8846904288843245,0
0,14,0.2,0.85,2025,-5.835668920683103,0
0,14,0.2,0.85,2026,-6.991819461253813,0
0,14,0.2,1.0,2010,-5.208393721361307,0
0,14,0.2,1.0,2011,-5.884664772762247,1
0,14,0.2,1.0,2012,-5.8478691830603,0
0,14,0.2,1.0,2013,-5.895438693774833,0
0,14,0.2,1.0,2014,-5.451640159835571,0
0,14,0.2,1.0,2015,-5.594603608161183,1
0,14,0.2,1.0,2016,-5.635131621038946,0
0,14,0.2,1.0,2017,-3.5371608248981814,0
0,14,0.2,1.0,2018,-6.633951741369671,1
0,14,0.2,1.0,2019,-5.297488419532159,0
0,14,0.2,1.0,2020,-5.5038942544823755,1
0,14,0.2,1.0,2021,-3.3646758687680944,0
0,14,0.2,1.0,2022,-4.407093424992924,1
0,14,0.2,1.0,2023,-4.54750545333324,0
0,14,0.2,1.0,2024,-5.504798166066271,0
0,14,0.2,1.0,2025,-4.569037423665886,0
0,14,0.2,1.0,2026,-5.752294055743361,0
0,14,0.2,1.15,2010,-3.871600555787394,0
0,14,0.2,1.15,2011,-4.491336736685437,1
0,14,0.2,1.15,2012,-4.118357785041983,0
0,14,0.2,1.15,2013,-4.700943771316975,0
0,14,0.2,1.15,2014,-4.059920880389504,0
0,14,0.2,1.15,2015,-4.299977028816772,1
0,14,0.2,1.15,2016,-4.405673835399128,0
0,14,0.2,1.15,2017,-2.0072594483365194,0
0,14,0.2,1.15,2018,-5.333491251335651,1
0,14,0.2,1.15,2019,-3.7360067451784222,0
0,14,0.2,1.15,2020,-4.251635289424166,1
0,14,0.2,1.15,2021,-1.794780790186722,0
0,14,0.2,1.15,2022,-3.1688925695682855,1
0,14,0.2,1.15,2023,-3.112836763870601,0
0,14,0.2,1.15,2024,-4.035306725562154,0
0,14,0.2,1.15,2025,-3.2233589586091425,0
0,14,0.2,1.15,2026,-4.424360322458619,0
0,14,0.2,1.3,2010,-2.7209799957062755,0
0,14,0.2,1.3,2011,-3.0110121682818876,1
0,14,0.2,1.3,2012,-2.319901004428698,0
0,14,0.2,1.3,2013,-3.405558939347807,0
0,14,0.2,1.3,2014,-2.5629795700491687,0
0,14,0.2,1.3,2015,-2.9382394167204438,1
0,14,0.2,1.3,2016,-3.1494989762500802,0
0,14,0.2,1.3,2017,-0.5121076596775587,0
0,14,0.2,1.3,2018,-4.0284155764291,1
0,14,0.2,1.3,2019,-2.233464933552491,0
0,14,0.2,1.3,2020,-2.9693675661049195,1
0,14,0.2,1.3,2021,-0.2177414253603988,0
0,14,0.2,1.3,2022,-1.8196153440027163,1
0,14,0.2,1.3,2023,-1.628001171846641,0
0,14,0.2,1.3,2024,-2.4398451879974665,0
0,14,0.2,1.3,2025,-1.8397020427472963,0
0,14,0.2,1.3,2026,-3.161049543698819,0
0,14,0.2,1.5,2010,-1.0837034787093365,0
0,14,0.2,1.5,2011,-0.9114385228367614,1
0,14,0.2,1.5,2012,0.04075193973561174,0
