front_dte,long_dte,short_delta,front_vol_mult,year,year_sharpe,stress
0,7,0.3,1.0,2022,-9.21369276208641,1
0,7,0.3,1.0,2023,-6.904672260454924,0
0,7,0.3,1.0,2024,-7.78925527845432,0
0,7,0.3,1.0,2025,-6.516007348812122,0
0,7,0.3,1.0,2026,-9.670214905987097,0
0,7,0.3,1.15,2010,-1.693973332551768,0
0,7,0.3,1.15,2011,-7.387690026437203,1
0,7,0.3,1.15,2012,-3.5572335180722976,0
0,7,0.3,1.15,2013,-4.398327732027444,0
0,7,0.3,1.15,2014,-3.9470743772434713,0
0,7,0.3,1.15,2015,-4.778278066191261,1
0,7,0.3,1.15,2016,-4.219270793660914,0
0,7,0.3,1.15,2017,-4.753536634161822,0
0,7,0.3,1.15,2018,-4.320853863066002,1
0,7,0.3,1.15,2019,-5.256030871642355,0
0,7,0.3,1.15,2020,-5.388326102854475,1
0,7,0.3,1.15,2021,-3.225095335934297,0
0,7,0.3,1.15,2022,-6.702717344610311,1
0,7,0.3,1.15,2023,-4.33665092282106,0
0,7,0.3,1.15,2024,-4.959101003188221,0
0,7,0.3,1.15,2025,-4.245531181434253,0
0,7,0.3,1.15,2026,-7.090605406536051,0
0,7,0.3,1.3,2010,0.46569730686189975,0
0,7,0.3,1.3,2011,-4.746504244292072,1
0,7,0.3,1.3,2012,-1.1183441147298532,0
0,7,0.3,1.3,2013,-2.0052109333667705,0
0,7,0.3,1.3,2014,-1.623294973323843,0
0,7,0.3,1.3,2015,-2.258941115246398,1
0,7,0.3,1.3,2016,-1.838853452412808,0
0,7,0.3,1.3,2017,-2.266149352441626,0
0,7,0.3,1.3,2018,-1.7544929699298568,1
0,7,0.3,1.3,2019,-3.1468929265474626,0
0,7,0.3,1.3,2020,-3.2731189470692286,1
0,7,0.3,1.3,2021,-0.5094314237402401,0
0,7,0.3,1.3,2022,-4.119083697528574,1
0,7,0.3,1.3,2023,-1.8008131474316773,0
0,7,0.3,1.3,2024,-2.2142446868323806,0
0,7,0.3,1.3,2025,-1.9247710873503536,0
0,7,0.3,1.3,2026,-4.6671729504338355,0
0,7,0.3,1.5,2010,3.3316970353650768,0
0,7,0.3,1.5,2011,-1.1965810282889071,1
0,7,0.3,1.5,2012,1.9727952672152382,0
0,7,0.3,1.5,2013,1.109675644298836,0
0,7,0.3,1.5,2014,1.5321965700497313,0
0,7,0.3,1.5,2015,1.096412944324397,1
0,7,0.3,1.5,2016,1.3332927030347541,0
0,7,0.3,1.5,2017,0.9617138078506452,0
0,7,0.3,1.5,2018,1.6062945078969841,1
0,7,0.3,1.5,2019,-0.30760592243204266,0
0,7,0.3,1.5,2020,-0.36379048425340066,1
0,7,0.3,1.5,2021,2.8382892097095884,0
0,7,0.3,1.5,2022,-0.6404051452867173,1
0,7,0.3,1.5,2023,1.4214534405310835,0
0,7,0.3,1.5,2024,1.1526350740156277,0
0,7,0.3,1.5,2025,1.2036600545482767,0
0,7,0.3,1.5,2026,-1.4474173190408433,0
0,14,0.1,0.85,2010,-6.496051883741719,0
0,14,0.1,0.85,2011,-4.333936102063583,1
0,14,0.1,0.85,2012,-4.592689300358183,0
0,14,0.1,0.85,2013,-5.391525407658254,0
0,14,0.1,0.85,2014,-5.757356600762521,0
0,14,0.1,0.85,2015,-5.604234511698853,1
0,14,0.1,0.85,2016,-7.129412822430235,0
0,14,0.1,0.85,2017,-4.107278633254201,0
0,14,0.1,0.85,2018,-6.749106999132918,1
0,14,0.1,0.85,2019,-5.555742662740378,0
0,14,0.1,0.85,2020,-4.425334312945777,1
0,14,0.1,0.85,2021,-5.479593703125715,0
0,14,0.1,0.85,2022,-6.6460281920856525,1
0,14,0.1,0.85,2023,-6.252154782018374,0
0,14,0.1,0.85,2024,-5.634870569349252,0
0,14,0.1,0.85,2025,-5.8773253112763,0
0,14,0.1,0.85,2026,-4.397555666891415,0
0,14,0.1,1.0,2010,-5.733451724356687,0
0,14,0.1,1.0,2011,-2.9724928341431056,1
0,14,0.1,1.0,2012,-3.636887603993289,0
0,14,0.1,1.0,2013,-4.310117905243942,0
0,14,0.1,1.0,2014,-4.611432088181645,0
0,14,0.1,1.0,2015,-4.566770869330403,1
0,14,0.1,1.0,2016,-5.617782667111813,0
0,14,0.1,1.0,2017,-2.9812203654712204,0
0,14,0.1,1.0,2018,-5.302221032604604,1
0,14,0.1,1.0,2019,-4.523017787826189,0
0,14,0.1,1.0,2020,-3.492269475964974,1
0,14,0.1,1.0,2021,-4.342909917248379,0
0,14,0.1,1.0,2022,-5.724106702858345,1
0,14,0.1,1.0,2023,-4.716717131203576,0
0,14,0.1,1.0,2024,-4.535789388968511,0
0,14,0.1,1.0,2025,-4.674217403151822,0
0,14,0.1,1.0,2026,-3.4263632328121716,0
0,14,0.1,1.15,2010,-5.044227936593231,0
0,14,0.1,1.15,2011,-1.4581612833465933,1
0,14,0.1,1.15,2012,-2.533944622762126,0
0,14,0.1,1.15,2013,-3.210720749957008,0
0,14,0.1,1.15,2014,-3.2409190257418143,0
0,14,0.1,1.15,2015,-3.4565629587622175,1
0,14,0.1,1.15,2016,-4.108696842226491,0
0,14,0.1,1.15,2017,-1.937119393639049,0
0,14,0.1,1.15,2018,-3.8492855130185175,1
0,14,0.1,1.15,2019,-3.4198958126376415,0
0,14,0.1,1.15,2020,-2.5061614306244544,1
0,14,0.1,1.15,2021,-3.156859757960142,0
0,14,0.1,1.15,2022,-4.637504700494045,1
0,14,0.1,1.15,2023,-3.1023937944927247,0
0,14,0.1,1.15,2024,-3.44177611906991,0
0,14,0.1,1.15,2025,-3.4058510813645566,0
0,14,0.1,1.15,2026,-2.3681888689101873,0
0,14,0.1,1.3,2010,-4.485218824626256,0
0,14,0.1,1.3,2011,0.10957789789327625,1
0,14,0.1,1.3,2012,-1.463604289785026,0
0,14,0.1,1.3,2013,-2.1783246096426048,0
0,14,0.1,1.3,2014,-1.7880112129591266,0
0,14,0.1,1.3,2015,-2.3099915617716826,1
0,14,0.1,1.3,2016,-2.6092543631527145,0
0,14,0.1,1.3,2017,-0.9144763315222751,0
0,14,0.1,1.3,2018,-2.4971511677891263,1
0,14,0.1,1.3,2019,-2.192151688397465,0
0,14,0.1,1.3,2020,-1.4696307387207974,1
0,14,0.1,1.3,2021,-1.958084035916939,0
0,14,0.1,1.3,2022,-3.4491909911452523,1
0,14,0.1,1.3,2023,-1.7683033366200533,0
0,14,0.1,1.3,2024,-2.25605502502653,0
0,14,0.1,1.3,2025,-2.3792903444544344,0
0,14,0.1,1.3,2026,-1.170167024195063,0
0,14,0.1,1.5,2010,-3.9614705946315873,0
0,14,0.1,1.5,2011,2.051929628629473,1
0,14,0.1,1.5,2012,-0.2781682356532913,0
0,14,0.1,1.5,2013,-0.6867363722613873,0
0,14,0.1,1.5,2014,0.12443573092476476,0
0,14,0.1,1.5,2015,-0.707354795536347,1
0,14,0.1,1.5,2016,-0.767807080608347,0
0,14,0.1,1.5,2017,0.4059671880444711,0
0,14,0.1,1.5,2018,-1.0558201863798113,1
0,14,0.1,1.5,2019,-0.5943065851485625,0
0,14,0.1,1.5,2020,-0.21377328005097493,1
0,14,0.1,1.5,2021,-0.2910906996224965,0
0,14,0.1,1.5,2022,-1.8543256768525416,1
0,14,0.1,1.5,2023,0.06351276910286444,0
