ticker,in_taxonomy,activity_per_day,full_name,sector,marketcap,total_open_interest,avg_30_day_call_volume,avg_30_day_put_volume,avg30_volume,close
RKT,no,51262,ROCKET COMPANIES INC,Financial Services,26156119115,944693,38181.7667,13081.1333,29290390.045454545455,13.72
PCG,no,51208,PG&E CORP,Utilities,46794729260,1605334,45497.1333,5711,22717609,17.46
CLF,no,50881,CLEVELAND-CLIFFS INC,Basic Materials,6994820976,784198,34749.5333,16131.6333,25779326.045454545455,12.26
TE,no,49719,T1 Energy,Industrials,1633737573,536352,36081.2333,13637.9333,44127156.636363636364,5.85
MRNA,no,48235,MODERNA INC,Healthcare,23622787552,622946,34287.3,13948.6,5350088.545454545455,59.17
CMCSA,no,45641,COMCAST CORP,Communication Services,89753914141,873324,31794.7667,13847.0333,32989802.954545454545,25.36
EOSE,no,44852,EOS ENERGY ENTERPRISES INC,Industrials,1511296138,1568926,35906.9333,8945.8333,28925508.545454545455,4.15
NVTS,no,44562,NAVITAS SEMICONDUCTOR CORP,Technology,3246275876,563625,31168.6333,13394.3,14903816.318181818182,13.89
BULL,no,44308,Webull Corporation Class A Ordinary Shares,Technology,3226039429,912973,34619.8333,9688.6333,8449815.045454545455,7.32
QBTS,no,43719,D-WAVE QUANTUM INC,Technology,7665917256,580363,28986.3,14732.9667,19223898.363636363636,20.76
DIS,no,43491,WALT DISNEY CO,Communication Services,181146722889,743868,27449.4333,16041.6333,11870427.090909090909,104.91
ET,no,42449,ENERGY TRANSFER LP,Energy,69313620968,912349,37191.2667,5258.5333,9467947.272727272727,20.13
BSX,no,41290,BOSTON SCIENTIFIC CORP,Healthcare,71461507927,952842,20331.8,20958.7333,19419431.954545454545,49.31
CCL,no,40517,CARNIVAL CORP,Consumer Cyclical,39706127960,984562,20601.0667,19915.9333,18201444.136363636364,28.99
ACHR,no,40129,ARCHER AVIATION INC,Industrials,4246152870,698219,32605.4667,7523.9,32215137.681818181818,5.59
PEP,no,39266,PEPSICO INC,Consumer Defensive,189747224393,404784,28852.8667,10414.1,8414688.409090909091,139.02
BYND,no,36732,BEYOND MEAT INC,Consumer Defensive,277355864,1062842,34126.4667,2605.7,30299522.045454545455,0.5377
DKNG,no,36052,DRAFTKINGS INC,Consumer Cyclical,11929790773,987742,27314.2667,8738.5667,13776766.954545454545,24.03
RUN,no,34302,SUNRUN INC,Technology,2456639216,559113,27672.6,6629.8333,9828676.045454545455,10.2
CBRS,no,34186,Cerebras Systems,Technology,20888677525,215902,23742.7,10443.8333,5249013.454545454545,226.73
QXO,no,33229,SILVERSUN TECHNOLOGIES INC,Industrials,11718715365,576474,24088.6667,9141.1,23692973.818181818182,16.16
AG,no,32863,FIRST MAJESTIC SILVER CORP,Basic Materials,9040330394,978691,22845.9333,10017.1333,10682066.818181818182,18.4
KHC,no,32805,KRAFT HEINZ CO,Consumer Defensive,30025057553,441205,28394.2,4411.7333,14301117.590909090909,25.32
ZETA,no,32680,ZETA GLOBAL HOLDINGS CORP,Technology,6687002437,345712,26009.7333,6670.3333,9557609.909090909091,26.64
CELH,no,32675,CELSIUS HOLDINGS INC,Consumer Defensive,7026783255,694435,23746.7333,8928.8,10948217.5,27.77
BMY,no,31484,BRISTOL MYERS SQUIBB CO,Healthcare,132204492536,719700,20025.1667,11458.9,12733630.954545454545,64.72
BBAI,yes,30105,BIGBEARAI HOLDINGS INC,Technology,1567946992,741385,25685.7667,4419.5,26293627.863636363636,3.27
QS,no,29548,QUANTUMSCAPE CORP,Consumer Cyclical,3570292517,726688,22136.8333,7411.4333,26565262.227272727273,6.08
VG,no,28797,Venture Global,Communication Services,6838892365,835713,23610.6667,5186.5333,15246709.318181818182,13.26
PG,no,28702,PROCTER & GAMBLE CO,Consumer Defensive,338879095817,396999,20830.3,7872.1667,8380916.681818181818,145.79
USAR,no,27989,USA Rare Earth,Basic Materials,4311273625,504979,19481.2333,8508.3333,10797166.136363636364,19.33
JOBY,no,27841,JOBY AVIATION INC,Industrials,8546033408,476408,20787.9333,7053.3,46116662.318181818182,8.64
XYZ,no,27774,Block,Technology,42724464000,562214,19127.9333,8646.8667,5156969.909090909091,79
DVN,no,27473,DEVON ENERGY CORP,Energy,47278000000,539282,20775.0667,6698.7333,9996615.909090909091,42.98
LAES,no,27348,SEALSQ CORP,Technology,492219582,872722,25660.1,1688.6667,14136211.181818181818,2.57
AI,yes,26462,C3AI INC,Technology,1552921693,278494,24414.6,2048.2667,5062698.136363636364,10.22
JBLU,no,25801,JETBLUE AIRWAYS CORP,Industrials,2290284939,988833,13293.3333,12507.8333,37779971.590909090909,6.07
GRAB,no,25587,GRAB HOLDINGS LTD,Financial Services,14527604613,1533877,21080.8,4506.7,47012073.772727272727,3.66
LYFT,no,25112,LYFT INC,Technology,6609312748,634203,16754.8333,8357.9,12089294.227272727273,17.46
FISV,no,24327,FISERV INC,Technology,27869893848,581541,12060.4667,12267.2333,7851488.727272727273,52.41
PSKY,no,24001,Paramount Skydance Corporation Class B,Communication Services,10021195909,1239729,14958.8333,9042.7333,12330388.863636363636,9.19
SOC,no,23777,SABLE OFFSHORE CORP,Energy,733223823,397240,18680.9333,5096.1333,8110489.590909090909,4.75
NN,no,23485,NEXTNAV INC,Communication Services,2225286475,489657,21060.3667,2425.5333,2649618.909090909091,16.31
PLUG,no,23296,PLUG POWER INC,Industrials,3041250599,793295,17580.5333,5715.6667,47489776.045454545455,2.18
