ticker,asset_class,market_date,expiry,strike,horizon,gap,d_iv,d_s,pnl_vega,pnl_delta,pnl_theta,gross,vega,harvest_vp,breakeven_spread_vp
SNDK,single_name,2025-12-26,2027-01-15,390.0,40,0.27574,0.13482,382.33,13.8192,191.6694,-7.4718,198.0168,1.025029872356241,13.4818,13.4818
SNDK,single_name,2025-12-29,2027-01-15,380.0,20,0.27635,0.09456,283.38,9.4257,142.0507,-3.6072,147.8692,0.99684692316977,9.4555,9.4555
SNDK,single_name,2025-12-29,2027-01-15,380.0,40,0.27635,0.12321,407.65,12.282,204.3439,-7.0942,209.5317,0.99684692316977,12.3209,12.3209
SNDK,single_name,2025-12-30,2027-01-15,380.0,20,0.27437,0.10763,299.08,10.5315,147.8811,-3.5589,154.8537,0.978496827531418,10.7629,10.7629
SNDK,single_name,2025-12-30,2027-01-15,380.0,40,0.27437,0.10342,395.14,10.1192,195.3783,-6.9991,198.4984,0.978496827531418,10.3415,10.3415
SNDK,single_name,2025-12-31,2027-01-15,370.0,20,0.26422,0.09515,338.87,9.1923,169.9375,-3.5337,175.5962,0.966042492176654,9.5154,9.5154
SNDK,single_name,2025-12-31,2027-01-15,370.0,40,0.26422,0.09882,381.7,9.5465,191.416,-7.1851,193.7774,0.966042492176654,9.882,9.882
SNDK,single_name,2026-01-02,2027-01-15,420.0,20,0.27541,0.11901,390.0,13.2861,201.913,-4.3372,210.8619,1.11637107395869,11.9012,11.9012
SNDK,single_name,2026-01-02,2027-01-15,420.0,40,0.27541,0.06135,290.17,6.8488,150.2284,-8.3947,148.6825,1.11637107395869,6.1349,6.1349
SNDK,single_name,2026-01-05,2027-01-15,420.0,20,0.27119,0.14042,421.43,15.5551,216.0476,-4.038,227.5646,1.10776118648551,14.0419,14.0419
SNDK,single_name,2026-01-05,2027-01-15,420.0,40,0.27119,0.05338,324.98,5.9134,166.6021,-8.0761,164.4394,1.10776118648551,5.3381,5.3381
SNDK,single_name,2026-01-07,2027-01-15,520.0,20,0.3104,0.08588,222.64,12.192,119.7091,-5.3352,126.5659,1.419710375131231,8.5877,8.5877
SNDK,single_name,2026-01-07,2027-01-15,520.0,40,0.3104,0.02185,173.77,3.1019,93.4327,-10.6704,85.8641,1.419710375131231,2.1849,2.1849
SNDK,single_name,2026-01-08,2027-01-15,520.0,20,0.30444,0.09198,263.41,12.3752,134.2703,-5.0104,141.635,1.345347533148639,9.1985,9.1985
SNDK,single_name,2026-01-08,2027-01-15,520.0,40,0.30444,0.02858,254.19,3.8449,129.5705,-10.3664,123.049,1.345347533148639,2.858,2.858
SNDK,single_name,2026-01-09,2027-01-15,520.0,20,0.29386,0.03705,205.99,5.5173,118.4961,-6.2531,117.7602,1.489130204957301,3.705,3.705
SNDK,single_name,2026-01-09,2027-01-15,520.0,40,0.29386,-0.03302,241.48,-4.917,138.9117,-12.1028,121.892,1.489130204957301,-3.3019,3.3019
SNDK,single_name,2026-01-12,2027-01-15,540.0,20,0.32086,0.0431,152.37,6.6407,85.768,-5.9338,86.4749,1.540618724554336,4.3104,4.3104
SNDK,single_name,2026-01-12,2027-01-15,540.0,40,0.32086,-0.02819,266.16,-4.3436,149.8196,-11.8676,133.6084,1.540618724554336,-2.8194,2.8194
SNDK,single_name,2026-01-13,2027-01-15,590.0,20,0.27975,0.05705,209.53,8.8826,109.8725,-5.9668,112.7883,1.557059341376175,5.7047,5.7047
SNDK,single_name,2026-01-13,2027-01-15,590.0,40,0.27975,-0.0231,229.01,-3.596,120.0873,-11.9337,104.5576,1.557059341376175,-2.3095,2.3095
SNDK,single_name,2026-01-14,2027-01-15,590.0,20,0.27472,0.05731,242.48,8.8516,126.5425,-5.9493,129.4448,1.54463976754534,5.7305,5.7305
SNDK,single_name,2026-01-14,2027-01-15,590.0,40,0.27472,-0.00731,273.81,-1.1295,142.8926,-11.8987,129.8644,1.54463976754534,-0.7313,0.7313
SNDK,single_name,2026-01-15,2027-01-15,590.0,20,0.25694,0.04465,217.32,7.2155,119.3244,-6.3549,120.1851,1.616071110366984,4.4648,4.4648
SNDK,single_name,2026-01-15,2027-01-15,590.0,40,0.25694,0.01722,294.39,2.7829,161.6415,-13.148,151.2763,1.616071110366984,1.722,1.722
SNDK,single_name,2026-02-05,2028-01-21,1080.0,20,0.24759,-0.08653,-48.87,-27.0859,-29.2584,-6.3235,-62.6677,3.13011765573631,-8.6533,8.6533
SNDK,single_name,2026-02-05,2028-01-21,1080.0,40,0.24759,-0.02253,148.43,-7.0515,88.8648,-13.083,68.7303,3.13011765573631,-2.2528,2.2528
SNDK,single_name,2026-02-09,2028-01-21,1080.0,20,0.26243,-0.04639,35.49,-14.6878,20.8252,-6.2506,-0.1132,3.16618959015398,-4.6389,4.6389
SNDK,single_name,2026-02-09,2028-01-21,1080.0,40,0.26243,0.00957,197.5,3.0304,115.891,-12.5012,106.4203,3.16618959015398,0.9571,0.9571
SNDK,single_name,2026-02-10,2028-01-21,1080.0,20,0.27831,-0.06348,113.79,-18.8859,64.0767,-5.854,39.3368,2.97530793022109,-6.3475,6.3475
SNDK,single_name,2026-02-10,2028-01-21,1080.0,40,0.27831,0.01843,309.93,5.483,174.5258,-11.708,168.3008,2.97530793022109,1.8428,1.8428
SNDK,single_name,2026-02-11,2028-01-21,1080.0,20,0.24434,-0.05216,19.48,-16.9038,11.5464,-6.3932,-11.7506,3.24106393364316,-5.2155,5.2155
SNDK,single_name,2026-02-11,2028-01-21,1080.0,40,0.24434,0.02004,252.43,6.4941,149.6237,-12.7863,143.3315,3.24106393364316,2.0037,2.0037
SNDK,single_name,2026-02-17,2028-01-21,1080.0,20,0.22959,0.01427,129.58,4.5426,76.4407,-6.1632,74.8201,3.18288688583886,1.4272,1.4272
SNDK,single_name,2026-02-17,2028-01-21,1080.0,40,0.22959,0.0306,301.13,9.7397,177.64,-12.5465,174.8332,3.18288688583886,3.06,3.06
SNDK,single_name,2026-02-18,2028-01-21,1080.0,20,0.25087,0.08655,153.29,28.102,89.6953,-6.1568,111.6405,3.24673261503772,8.6555,8.6555
