ticker,asset_class,market_date,expiry,strike,dte,hv20,hv60,atm_iv,entry_iv_fixed,gap,horizon,iv_fwd,fwd_ret,d_iv,entry_idx
GOOGL,single_name,2026-01-09,2027-01-15,355,371,0.21797595121496097,0.29090668023870875,0.38992428683894775,0.38992353877429,-0.09902,20,0.384739545737575,-0.01293,-0.00518,9
GOOGL,single_name,2026-01-09,2027-01-15,355,371,0.21797595121496097,0.29090668023870875,0.38992428683894775,0.38992353877429,-0.09902,40,0.378341052176521,-0.06553,-0.01158,9
GOOGL,single_name,2026-01-12,2027-01-15,360,368,0.19705983968827226,0.2887922320062895,0.39187339261859966,0.391439202252689,-0.10308,20,0.377976989851408,-0.04002,-0.01346,10
GOOGL,single_name,2026-01-12,2027-01-15,360,368,0.19705983968827226,0.2887922320062895,0.39187339261859966,0.391439202252689,-0.10308,40,0.373443436936654,-0.06979,-0.018,10
GOOGL,single_name,2026-01-13,2027-01-15,365,367,0.19329370008688962,0.2891477013119672,0.3966181425680437,0.39619035244544,-0.10747,20,0.372016576389054,-0.07444,-0.02417,11
GOOGL,single_name,2026-01-13,2027-01-15,365,367,0.19329370008688962,0.2891477013119672,0.3966181425680437,0.39619035244544,-0.10747,40,0.375582491412312,-0.0965,-0.02061,11
GOOGL,single_name,2026-01-14,2027-01-15,365,366,0.191992242997398,0.28929659244046635,0.3975051018531202,0.397197557940922,-0.10821,20,0.374101545856272,-0.07992,-0.0231,12
GOOGL,single_name,2026-01-14,2027-01-15,365,366,0.191992242997398,0.28929659244046635,0.3975051018531202,0.397197557940922,-0.10821,40,0.374867511470635,-0.09993,-0.02233,12
GOOGL,single_name,2026-01-15,2027-01-15,360,365,0.1949653370521661,0.2901750076660322,0.39761454797220525,0.397611344537508,-0.10744,20,0.373128123173701,-0.08131,-0.02448,13
GOOGL,single_name,2026-01-15,2027-01-15,360,365,0.1949653370521661,0.2901750076660322,0.39761454797220525,0.397611344537508,-0.10744,40,0.367940741466733,-0.0818,-0.02967,13
GOOGL,single_name,2026-01-16,2027-06-17,370,517,0.147542396876645,0.28537762866256644,0.40409766441466705,0.404180295445969,-0.11872,20,0.389568352473924,-0.08479,-0.01461,14
GOOGL,single_name,2026-01-16,2027-06-17,370,517,0.147542396876645,0.28537762866256644,0.40409766441466705,0.404180295445969,-0.11872,40,0.38474956262018,-0.05782,-0.01943,14
GOOGL,single_name,2026-01-20,2027-06-17,360,513,0.17257669085296673,0.2915554055417624,0.40545347924546854,0.405883946551525,-0.1139,20,0.388665471465256,-0.05798,-0.01722,15
GOOGL,single_name,2026-01-20,2027-06-17,360,513,0.17257669085296673,0.2915554055417624,0.40545347924546854,0.405883946551525,-0.1139,40,0.391182947713106,-0.04444,-0.0147,15
GOOGL,single_name,2026-01-21,2027-06-17,370,512,0.17712777849932,0.29327461314822056,0.40333207563595275,0.402853050006922,-0.11006,20,0.387737909783626,-0.07775,-0.01512,16
GOOGL,single_name,2026-01-21,2027-06-17,370,512,0.17712777849932,0.29327461314822056,0.40333207563595275,0.402853050006922,-0.11006,40,0.386961848029277,-0.06471,-0.01589,16
