start,year,month,equity,drawdown_pct
2018-09-20,2018,11,112949.11462587575,-0.21014605156730246
2018-09-20,2018,12,118978.38249857868,-0.16798333917077848
2018-09-20,2019,1,118978.38249857868,-0.16798333917077848
2018-09-20,2019,2,125589.37373874505,-0.12175263119758704
2018-09-20,2019,3,138099.01396937555,-0.03427262958478638
2018-09-20,2019,4,158748.04880015485,0.0
2018-09-20,2019,5,165637.96140071657,0.0
2018-09-20,2019,6,182092.85425587758,0.0
2018-09-20,2019,7,188222.29120288452,0.0
2018-09-20,2019,8,171741.3411100865,-0.11525139925033574
2018-09-20,2019,9,187504.287719496,-0.005021003380339264
2018-09-20,2019,10,187504.287719496,-0.005021003380339264
2018-09-20,2019,11,204846.35909050645,0.0
2018-09-20,2019,12,216404.30598176114,0.0
2018-09-20,2020,1,236602.2786374434,0.0
2018-09-20,2020,2,226672.42261252727,-0.06943955262179118
2018-09-20,2020,3,185472.68662800372,-0.35754959447160617
2018-09-20,2020,4,164546.7353074417,-0.5038849183916203
2018-09-20,2020,5,164546.7353074417,-0.5038849183916203
2018-09-20,2020,6,172961.96866718042,-0.4450371326591817
2018-09-20,2020,7,192354.93129140435,-0.3094220094128605
2018-09-20,2020,8,213153.10543491002,-0.1639802321855482
2018-09-20,2020,9,235844.92613996475,-0.005296171311039552
2018-09-20,2020,10,251861.43228130866,0.0
2018-09-20,2020,11,263288.871473148,0.0
2018-09-20,2020,12,283636.76168571366,0.0
2018-09-20,2021,1,290826.6249867359,0.0
2018-09-20,2021,2,310950.41239005583,0.0
2018-09-20,2021,3,328704.00610118057,0.0
2018-09-20,2021,4,334175.8264914954,0.0
2018-09-20,2021,5,334175.8264914954,0.0
2018-09-20,2021,6,345665.64723641425,0.0
2018-09-20,2021,7,352310.26628633705,0.0
2018-09-20,2021,8,352310.26628633705,0.0
2018-09-20,2021,9,352310.26628633705,0.0
2018-09-20,2021,10,364519.3401238877,0.0
2018-09-20,2021,11,371249.2955103057,0.0
2018-09-20,2021,12,380584.18277546304,0.0
2018-09-20,2022,1,389647.42971144326,0.0
2018-09-20,2022,2,389647.42971144326,0.0
2018-09-20,2022,3,400536.8543189746,0.0
2018-09-20,2022,4,404747.49528066115,0.0
2018-09-20,2022,5,404747.49528066115,0.0
2018-09-20,2022,6,399707.233338755,-0.035246587006336934
2018-09-20,2022,7,399707.233338755,-0.035246587006336934
2018-09-20,2022,8,399707.233338755,-0.035246587006336934
2018-09-20,2022,9,399707.233338755,-0.035246587006336934
2018-09-20,2022,10,387256.4687237463,-0.12231487102737655
2018-09-20,2022,11,400983.49956286215,-0.026321648376216783
2018-09-20,2022,12,400983.49956286215,-0.026321648376216783
2018-09-20,2023,1,406967.2347547104,0.0
2018-09-20,2023,2,412022.97615923575,0.0
2018-09-20,2023,3,424327.7429231731,0.0
2018-09-20,2023,4,439623.0410279117,0.0
2018-09-20,2023,5,461613.7497829535,0.0
2018-09-20,2023,6,479974.6829334824,0.0
2018-09-20,2023,7,488611.86529059743,0.0
2018-09-20,2023,8,500206.56739864574,0.0
2018-09-20,2023,9,518986.3827617454,0.0
2018-09-20,2023,10,523431.137783694,0.0
2018-09-20,2023,11,546070.8575545258,0.0
2018-09-20,2023,12,556748.9120509347,0.0
2018-09-20,2024,1,558456.707044112,0.0
2018-09-20,2024,2,563681.3352153829,0.0
2018-09-20,2024,3,565610.3226766429,0.0
2018-09-20,2024,4,565610.3226766429,0.0
2018-09-20,2024,5,578129.3182917319,0.0
2018-09-20,2024,6,583139.4720028494,0.0
2018-09-20,2024,7,593301.9367356647,0.0
2018-09-20,2024,8,609322.6104130552,0.0
2018-09-20,2024,9,615224.2111858357,0.0
2018-09-20,2024,10,618835.9792120331,0.0
2018-09-20,2024,11,628924.479842145,0.0
2018-09-20,2024,12,642426.381620364,0.0
2018-09-20,2025,1,652713.1055658347,0.0
2018-09-20,2025,2,652713.1055658347,0.0
2018-09-20,2025,3,652713.1055658347,0.0
2018-09-20,2025,4,611834.8136112822,-0.2858621815003673
2018-09-20,2025,5,619292.3966208248,-0.2337112513637053
2018-09-20,2025,6,619292.3966208248,-0.2337112513637053
2018-09-20,2025,7,625432.8615992501,-0.19077093682926266
2018-09-20,2025,8,650188.9420706733,-0.01765149297315621
2018-09-20,2025,9,665286.116425484,0.0
2018-09-20,2025,10,677205.4841049929,0.0
2018-09-20,2025,11,700148.5035241755,0.0
2018-09-20,2025,12,708159.6457350806,0.0
2018-09-20,2026,1,712250.5729576551,0.0
2018-09-20,2026,2,718407.3410104439,0.0
2018-09-20,2026,3,713342.6645619828,-0.03541731782140572
2018-09-20,2026,4,731928.5452352116,0.0
2018-09-20,2026,5,748119.6442276823,0.0
2020-02-19,2020,4,122074.04867943798,-0.1463353239200141
2020-02-19,2020,5,122074.04867943798,-0.1463353239200141
2020-02-19,2020,6,130489.2820391767,-0.08748753818757551
2020-02-19,2020,7,149882.24466340063,0.0
2020-02-19,2020,8,170680.4188069063,0.0
2020-02-19,2020,9,193372.23951196103,0.0
2020-02-19,2020,10,209388.74565330494,0.0
2020-02-19,2020,11,220816.18484514428,0.0
2020-02-19,2020,12,241164.0750577099,0.0
2020-02-19,2021,1,248353.93835873215,0.0
2020-02-19,2021,2,268477.7257620521,0.0
2020-02-19,2021,3,286231.31947317685,0.0
2020-02-19,2021,4,291703.1398634917,0.0
2020-02-19,2021,5,291703.1398634917,0.0
2020-02-19,2021,6,303192.96060841053,0.0
2020-02-19,2021,7,309837.5796583333,0.0
2020-02-19,2021,8,309837.5796583333,0.0
2020-02-19,2021,9,309837.5796583333,0.0
2020-02-19,2021,10,322046.653495884,0.0
2020-02-19,2021,11,328776.60888230195,0.0
2020-02-19,2021,12,338111.4961474593,0.0
2020-02-19,2022,1,347174.74308343953,0.0
2020-02-19,2022,2,347174.74308343953,0.0
2020-02-19,2022,3,358064.1676909709,0.0
2020-02-19,2022,4,362274.80865265743,0.0
2020-02-19,2022,5,362274.80865265743,0.0
2020-02-19,2022,6,357234.54671075125,-0.035246587006336934
2020-02-19,2022,7,357234.54671075125,-0.035246587006336934
2020-02-19,2022,8,357234.54671075125,-0.035246587006336934
2020-02-19,2022,9,357234.54671075125,-0.035246587006336934
2020-02-19,2022,10,344783.7820957426,-0.12231487102737655
2020-02-19,2022,11,358510.81293485843,-0.026321648376216783
2020-02-19,2022,12,358510.81293485843,-0.026321648376216783
2020-02-19,2023,1,364494.5481267067,0.0
2020-02-19,2023,2,369550.28953123203,0.0
2020-02-19,2023,3,381855.0562951694,0.0
2020-02-19,2023,4,397150.354399908,0.0
2020-02-19,2023,5,419141.0631549498,0.0
2020-02-19,2023,6,437501.9963054787,0.0
2020-02-19,2023,7,446139.1786625937,0.0
2020-02-19,2023,8,457733.880770642,0.0
2020-02-19,2023,9,476513.6961337417,0.0
2020-02-19,2023,10,480958.4511556903,0.0
2020-02-19,2023,11,503598.17092652206,0.0
2020-02-19,2023,12,514276.2254229309,0.0
2020-02-19,2024,1,515984.02041610813,0.0
2020-02-19,2024,2,521208.648587379,0.0
2020-02-19,2024,3,523137.6360486391,0.0
2020-02-19,2024,4,523137.6360486391,0.0
2020-02-19,2024,5,535656.631663728,0.0
2020-02-19,2024,6,540666.7853748456,0.0
2020-02-19,2024,7,550829.2501076609,0.0
2020-02-19,2024,8,566849.9237850513,0.0
2020-02-19,2024,9,572751.5245578318,0.0
2020-02-19,2024,10,576363.2925840293,0.0
2020-02-19,2024,11,586451.7932141412,0.0
2020-02-19,2024,12,599953.6949923602,0.0
2020-02-19,2025,1,610240.4189378308,0.0
2020-02-19,2025,2,610240.4189378308,0.0
2020-02-19,2025,3,610240.4189378308,0.0
2020-02-19,2025,4,569362.1269832783,-0.2858621815003673
2020-02-19,2025,5,576819.709992821,-0.2337112513637053
2020-02-19,2025,6,576819.709992821,-0.2337112513637053
2020-02-19,2025,7,582960.1749712463,-0.19077093682926266
2020-02-19,2025,8,607716.2554426695,-0.01765149297315621
2020-02-19,2025,9,622813.4297974801,0.0
2020-02-19,2025,10,634732.7974769891,0.0
2020-02-19,2025,11,657675.8168961717,0.0
2020-02-19,2025,12,665686.9591070767,0.0
2020-02-19,2026,1,669777.8863296512,0.0
2020-02-19,2026,2,675934.65438244,0.0
2020-02-19,2026,3,670869.977933979,-0.03541731782140572
2020-02-19,2026,4,689455.8586072078,0.0
2020-02-19,2026,5,705646.9575996784,0.0
2022-01-03,2022,3,153889.42460753134,0.0
2022-01-03,2022,4,158100.0655692179,0.0
2022-01-03,2022,5,158100.0655692179,0.0
2022-01-03,2022,6,153059.80362731172,-0.035246587006336934
