sector,deviation_class,verdict,mean_realized_vrp,mean_holdout,rich_cheap_spread,n,n_holdout,survives_walkforward,survives_window_gate,confidence,as_of,inserted_at
AI-Native-Software,NORMAL,HARVEST_SELLABLE,0.112928676772675,0.138963250025469,0.22892786920945,195,78,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
AI-Native-Software,CHEAP,NONE,-0.000164915192809396,-0.0117866891128502,0.22892786920945,109,44,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
AI-Native-Software,RICH,HARVEST_SELLABLE,0.22876295401664,0.299768773595478,0.22892786920945,98,39,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Power,NORMAL,HARVEST_SELLABLE,0.065924614869647,0.0857612015821117,0.27433196228563,152,61,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Power,CHEAP,NONE,-0.0681939648058911,-0.0673781650516751,0.27433196228563,95,38,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Power,RICH,HARVEST_SELLABLE,0.206137997479738,0.223089114773349,0.27433196228563,56,22,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Crypto,NORMAL,NONE,-0.0322808888918673,0.00869211140476968,0.247366347512925,426,170,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Crypto,CHEAP,NONE,-0.148470602917967,-0.142332154176496,0.247366347512925,300,120,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Crypto,RICH,HARVEST_SELLABLE,0.0988957445949577,0.111818905893279,0.247366347512925,194,78,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Cooling/Thermal,NORMAL,NONE,0.00946864983256811,-0.0233944449598188,0.229696638125469,113,45,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Cooling/Thermal,RICH,HARVEST_SELLABLE,0.165026446295703,0.106210360971893,0.229696638125469,32,13,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Cooling/Thermal,CHEAP,NONE,-0.0646701918297668,-0.135306629738023,0.229696638125469,28,11,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Generation/Nuclear,NORMAL,HARVEST_SELLABLE,0.0307161667767579,0.078679672052087,0.219143409866846,322,129,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Generation/Nuclear,RICH,HARVEST_SELLABLE,0.160389793994163,0.156881048015785,0.219143409866846,193,77,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Generation/Nuclear,CHEAP,NONE,-0.0587536158726838,-0.0554152473226473,0.219143409866846,253,101,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Consumer,RICH,HARVEST_SELLABLE,0.0521825297448597,0.0534294479371778,0.0636828767350044,237,95,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
