ticker,market_date,expiry,dte,n_strikes,a,b,rho,m,sigma,rmse_volpts,min_butterfly_g,liquid,calendar_viol_on_date
QQQ,2026-04-10,2026-07-17,98,121,0.004181696796494128,0.056923385039757926,-0.9989999999966237,-0.05586257904622124,0.16230551753202918,0.7703,0.21445,True,0
QQQ,2026-04-30,2026-05-07,7,64,3.6059598775427435e-05,0.010171614773897683,-0.9989999999927963,-0.030408039257102348,0.07791561465775888,0.2207,0.415927,True,0
QQQ,2026-04-30,2026-05-29,29,151,0.001460271865699454,0.025008915850416386,-0.9989999998794864,-0.040467171552841255,0.08922749749423929,0.4387,0.252604,True,0
QQQ,2026-04-30,2026-07-31,92,148,0.008453113310640664,0.04803185503191533,-0.9989999999999999,-0.06226027605272944,0.07667317634665817,0.8686,0.241988,True,0
QQQ,2026-05-21,2026-05-28,7,68,0.00013616205153165424,0.013789099544385102,-0.9989999624829907,-0.059939533285327744,0.07453897752156083,0.2462,0.365295,True,0
QQQ,2026-05-21,2026-06-18,28,143,0.002605127856762188,0.022748318433260188,-0.9989999999995763,-0.0476782101966478,0.059705290490130965,0.4989,0.262934,True,0
QQQ,2026-05-21,2026-08-21,92,77,0.009330929570797907,0.05201443849931623,-0.9989999999999999,-0.0948403479928165,0.10607397328902583,0.6052,0.21395,True,0
QQQ,2026-06-11,2026-06-18,7,115,1.0000000000007632e-08,0.050840639877733136,-0.9989999999999999,-0.14563653340333374,0.11181476396021478,0.3733,0.457889,True,0
QQQ,2026-06-11,2026-07-10,29,123,0.0029752624063698906,0.03566709266732546,-0.9989999999441216,-0.07946055815779256,0.13938516061343437,0.4351,0.295051,True,0
QQQ,2026-06-11,2026-08-31,81,155,0.013642892385515522,0.04588540178557539,-0.9989999999999999,-0.07203519584203197,0.057836995049251994,0.8802,0.302807,True,0
QQQ,2026-07-02,2026-07-09,7,56,1.0076242258783269e-08,0.00953514688948622,-0.9989999999997619,0.0033906956203571532,0.09035312972636136,0.1048,0.513434,True,0
QQQ,2026-07-02,2026-07-31,29,171,0.0005639189797964422,0.034683088516301516,-0.9989999999999988,-0.08056478337355318,0.19329382226834665,0.4637,0.306728,True,0
QQQ,2026-07-02,2026-09-30,90,249,0.00979103341391638,0.057876426049484085,-0.9989999999999999,-0.11075841986079062,0.17069146036706156,0.8441,0.227753,True,0
NVDA,2025-12-26,2026-01-02,7,14,0.00010811637050130107,0.024872319314293526,-0.7327422278431686,-0.051566214043990886,0.06837805869424775,0.2542,0.17464,True,0
