spread_vp,n_trades,n_months,sharpe,maxdd,annror,mean_ret,hit_rate,mean_net_dollars,median_net_dollars,mean_gross_dollars,mean_ivonly_dollars,mean_capital,mean_holdout_ret,n_holdout,survives_walkforward,survives_quarter_gate,variant,threshold,horizon,breakeven_spread_vp_dollars,breakeven_spread_vp_sharpe0,breakeven_spread_vp_sharpe1
0.4,1366,8,-3.4036869076616436,-2.517463658907893,-3.2045322175090374,-0.35899605121038214,0.2247437774524158,-124.70393121094918,-90.10617750375795,-50.1637717755125,-40.15638856503418,572.1669106881405,-0.266817832069323,546,True,True,naive,2.0,5,,,
0.5,1366,8,-3.880593391498552,-2.988502946503083,-3.9428659787949627,-0.428469218312081,0.19692532942898974,-142.68897106980836,-106.59531643279078,-50.1637717755125,-40.15638856503418,572.1669106881405,-0.30822643084308604,546,True,True,naive,2.0,5,,,
0.0,3307,9,1.3899317107496252,-0.04853419699904467,0.16628979858195497,0.016238099206064095,0.5672815240399154,36.08118228126088,28.0404495129005,38.68118228126089,-45.013552129351766,2673.127910492894,0.009526487645049956,1323,True,False,resid,1.0,1,0.2506,0.2303,0.0626
0.02,3307,9,1.264404437467358,-0.05028849376986997,0.15184636935643672,0.015091516645677653,0.5600241911097672,33.201955883296215,25.726789746894912,38.68118228126089,-45.013552129351766,2673.127910492894,0.008445050580930442,1323,True,False,resid,1.0,1,0.2506,0.2303,0.0626
0.05,3307,9,1.0778334399177492,-0.05291993892610791,0.13018122551815942,0.013371642805097991,0.5515573026912609,28.883116286349203,21.87769227924747,38.68118228126089,-45.013552129351766,2673.127910492894,0.006822894984751173,1323,True,False,resid,1.0,1,0.2506,0.2303,0.0626
0.1,3307,9,0.7714611834927302,-0.05730568085317117,0.09407265245436383,0.010505186404131882,0.5355306924705171,21.685050291437527,15.64780700038447,38.68118228126089,-45.013552129351766,2673.127910492894,0.004119302324452389,1323,True,False,resid,1.0,1,0.2506,0.2303,0.0626
0.15,3307,9,0.47079518615668403,-0.06169142278023442,0.05796407939056821,0.0076387300031657765,0.5234351375869368,14.486984296525831,9.78458880981767,38.68118228126089,-45.013552129351766,2673.127910492894,0.0014157096641536063,1323,True,False,resid,1.0,1,0.2506,0.2303,0.0626
0.2,3307,9,0.17580621285234813,-0.06607716470729767,0.021855506326772616,0.004772273602199669,0.50922286059873,7.288918301614147,4.013996401141901,38.68118228126089,-45.013552129351766,2673.127910492894,-0.001287882996145178,1323,False,False,resid,1.0,1,0.2506,0.2303,0.0626
0.3,3307,9,-0.39729984881480324,-0.0967478548285695,-0.0503616398008185,-0.000960639199732541,0.48261263985485336,-7.107213688209221,-7.437096339163686,38.68118228126089,-45.013552129351766,2673.127910492894,-0.006695068316742743,1323,True,False,resid,1.0,1,0.2506,0.2303,0.0626
0.4,3307,9,-0.9482485905360611,-0.14579945615266696,-0.12257878592840968,-0.006693552001664753,0.4557000302388872,-21.503345678032588,-19.216665134727748,38.68118228126089,-45.013552129351766,2673.127910492894,-0.012102253637340313,1323,True,True,resid,1.0,1,0.2506,0.2303,0.0626
0.5,3307,9,-1.4775320980172206,-0.1948510574767644,-0.19479593205600088,-0.012426464803596963,0.425763531902026,-35.899477667855955,-32.37925621661765,38.68118228126089,-45.013552129351766,2673.127910492894,-0.017509438957937877,1323,True,True,resid,1.0,1,0.2506,0.2303,0.0626
0.0,3271,9,0.4915429987243774,-0.1538689101597255,0.13082849514201453,0.024423557007988893,0.5637419749312137,56.75381722220614,39.318208427026114,59.35381722220614,-61.685633951453305,2671.8997248547844,0.002311302001925851,1308,True,False,resid,1.0,2,0.3925,0.181,
0.02,3271,9,0.4363942648368054,-0.15557487967992487,0.1163703302272035,0.023271611975142666,0.5597676551513299,53.86207325140282,37.355639710484034,59.35381722220614,-61.685633951453305,2671.8997248547844,0.0012223687827364134,1308,True,False,resid,1.0,2,0.3925,0.181,
0.05,3271,9,0.3540589052089354,-0.158133833960224,0.09468308285498697,0.021543694425873325,0.5533476001222868,49.52445729519787,32.234442896459534,59.35381722220614,-61.685633951453305,2671.8997248547844,-0.000411031046047744,1308,False,False,resid,1.0,2,0.3925,0.181,
0.1,3271,9,0.21786251737654475,-0.1623987577607225,0.058537670567959534,0.01866383184375776,0.5411189238764904,42.29509736818962,26.930231231798043,59.35381722220614,-61.685633951453305,2671.8997248547844,-0.0031333640940213394,1308,False,False,resid,1.0,2,0.3925,0.181,
0.15,3271,9,0.08294478640456142,-0.16666368156122102,0.022392258280932026,0.0157839692616422,0.5328645674105777,35.06573744118137,20.318086913288347,59.35381722220614,-61.685633951453305,2671.8997248547844,-0.005855697141994934,1308,False,False,resid,1.0,2,0.3925,0.181,
0.2,3271,9,-0.05070350316888458,-0.17092860536171955,-0.0137531540060955,0.012904106679526637,0.5230816264139407,27.836377514173115,13.214409670800004,59.35381722220614,-61.685633951453305,2671.8997248547844,-0.008578030189968529,1308,False,False,resid,1.0,2,0.3925,0.181,
