strategy,leg,horizon_days,trades,mean_return,median_return,hit_rate,sharpe_overlap_naive,max_drawdown_overlap_naive
trend_exhaustion_fade_1w,long_short,10,242,0.01933133094707624,0.013566492297147311,0.5867768595041323,1.3347294903424987,-0.8444476216666074
trend_exhaustion_fade_1w,long,15,237,0.10028057510542332,0.08429560958153255,0.6919831223628692,2.547025619377335,-0.839872112186153
trend_exhaustion_fade_1w,short,15,237,-0.07091259132928701,-0.06360401249629988,0.3080168776371308,-1.9850105669221287,-0.9999999994446638
trend_exhaustion_fade_1w,long_short,15,237,0.014683991888068154,0.017392628888157402,0.5780590717299579,0.711839179010564,-0.9178345534102184
gap_follow_through_1w,long,5,247,0.019638472398816432,0.018925795127126534,0.5951417004048583,1.9730944203927474,-0.5209596562850511
gap_follow_through_1w,short,5,247,-0.0173943991973203,-0.014744450752738314,0.38866396761133604,-1.752879104659454,-0.9962646867708054
gap_follow_through_1w,long_short,5,247,0.0011220366007480668,-0.0003147413127942353,0.4939271255060729,0.20318439387111176,-0.3760367618359073
gap_follow_through_1w,long,10,242,0.036529070188158624,0.023905051383333653,0.6363636363636364,1.8750267680437633,-0.6729470823199817
gap_follow_through_1w,short,10,242,-0.04077954757253544,-0.02470155520174524,0.36363636363636365,-2.0146354023688384,-0.9999957427604714
gap_follow_through_1w,long_short,10,242,-0.0021252386921884053,-0.001637451961577937,0.49586776859504134,-0.18333180873501975,-0.7805879334654475
gap_follow_through_1w,long,15,237,0.06179224663668118,0.04549031396909982,0.6835443037974683,2.1472669303633416,-0.5760584081067721
gap_follow_through_1w,short,15,237,-0.06559908666303062,-0.0463936689647582,0.28270042194092826,-2.013712596862101,-0.999999997770036
gap_follow_through_1w,long_short,15,237,-0.0019034200131747203,-0.00400479403419355,0.4641350210970464,-0.10593857089081508,-0.8649410742520844
gap_snapback_fade_1w,long,5,247,0.013662294417991484,0.007291990090744727,0.5506072874493927,1.408928639917504,-0.6474349125977226
gap_snapback_fade_1w,short,5,247,-0.023445221681279844,-0.023312118727845887,0.3603238866396761,-2.0081238882714105,-0.9996114631724479
gap_snapback_fade_1w,long_short,5,247,-0.004891463631644182,-0.007479818484905355,0.44129554655870445,-0.8030979634473531,-0.8556165222978577
gap_snapback_fade_1w,long,10,242,0.030800771639334344,0.02239945236450902,0.6115702479338843,1.4897746587596399,-0.7614549380921005
gap_snapback_fade_1w,short,10,242,-0.05147351973515693,-0.03809037801005248,0.33884297520661155,-2.184649916291109,-0.9999998761157302
gap_snapback_fade_1w,long_short,10,242,-0.010336374047911294,-0.009569040408981478,0.4462809917355372,-0.7883103612274749,-0.9764739012093042
gap_snapback_fade_1w,long,15,237,0.05020463246733154,0.034052875634789294,0.6160337552742616,1.5526585930555123,-0.7897547994150109
gap_snapback_fade_1w,short,15,237,-0.08590304311797912,-0.05461390151665835,0.2911392405063291,-2.4111906500090763,-0.9999999999848403
gap_snapback_fade_1w,long_short,15,237,-0.017849205325323803,-0.018561035984543936,0.43037974683544306,-0.8325036580572571,-0.9952836170367595
accumulation_breakout_3w,long,5,247,0.00876665751841146,0.005336608740917103,0.5587044534412956,1.2926332442151345,-0.46591466672224324
accumulation_breakout_3w,short,5,247,-0.009664184308865979,-0.008610690699824942,0.42105263157894735,-1.0267745922424805,-0.974380042040026
accumulation_breakout_3w,long_short,5,247,-0.0004487633952272594,-0.002104177675776118,0.4817813765182186,-0.09364612878191339,-0.6521079039025368
accumulation_breakout_3w,long,10,242,0.02658957780782796,0.020018438852582688,0.628099173553719,2.0264937532671468,-0.4021699031196099
accumulation_breakout_3w,short,10,242,-0.019436032432982687,-0.01544556987922493,0.4132231404958678,-0.941119851080782,-0.999317381004808
accumulation_breakout_3w,long_short,10,242,0.0035767726874226372,0.0034563397363927993,0.5289256198347108,0.3485374964527416,-0.5235524594368544
accumulation_breakout_3w,long,15,237,0.04505583134577227,0.030844882563671794,0.6835443037974683,2.138793688785685,-0.4686961976004177
accumulation_breakout_3w,short,15,237,-0.03176347790833841,-0.027986452109132153,0.39662447257383965,-1.0953954387887037,-0.9999631535612992
accumulation_breakout_3w,long_short,15,237,0.0066461767187169325,0.003941163662523916,0.5274261603375527,0.4497283059406222,-0.6181499331203953
