ticker,sector,setup_type,setup_direction,setup_score,ret_1d,ret_1w,ret_30d,iv_rank,spot,updated_at,section,bias,direction,scanner_score,scored_at,alpha_composite,alpha_direction,alignment_count,liquidity_rank,option_iv_bonus,option_leverage_score,top_factor_signals_json
TER,Semi-Cap,,,,0.0132,-0.0825,0.1028,100.0,433.0,2026-07-02 04:05:15.775008+08:00,watchlist,bullish,long,7.5,2026-07-02 04:05:15.759201+08:00,0.22910016473201758,long,1.0,0.46078431372549017,1.0,38.090933099868685,"{""accumulation_pressure_6"": 0.607843137254902, ""dollar_volume_rank"": 0.07843137254901966, ""gap_fade"": -0.7254901960784315, ""gap_follow"": -0.7647058823529411, ""mom_10"": 0.5686274509803921, ""open_vs_vwap_snapback"": 0.3921568627450981, ""pv_corr_fade_6"": 0.3137254901960784, ""slope_12"": 0.8235294117647058, ""slope_6"": 0.15686274509803932, ""slope_acceleration"": 0.803921568627451}"
ANET,DC-Connect,C,bull,2.0045,0.004,0.0111,-0.0459,59.66,167.28,2026-07-02 03:32:39.830987+08:00,watchlist,bullish,long,6.639,2026-07-02 03:32:39.817871+08:00,0.04834573162701664,long,2.0,0.28431372549019607,0.6379999999999999,37.68401984134214,"{""accumulation_pressure_6"": 0.43137254901960786, ""dollar_volume_rank"": 0.43137254901960786, ""gap_fade"": -0.392156862745098, ""gap_follow"": -0.47058823529411764, ""mom_10"": 0.019607843137254832, ""open_vs_vwap_snapback"": 0.21568627450980393, ""pv_corr_fade_6"": 0.41176470588235303, ""slope_12"": 0.05882352941176472, ""slope_6"": 0.3529411764705883, ""slope_acceleration"": 0.039215686274509776}"
CVX,Energy,C,bull,1.4483,0.0019,-0.0362,-0.1149,56.62,166.0,2026-07-02 04:19:12.945939+08:00,watchlist,bearish,short,7.5,2026-07-02 04:19:12.935840+08:00,-0.22094287404156024,short,1.0,0.3431372549019608,0.5945714285714285,37.482423171704745,"{""accumulation_pressure_6"": -0.803921568627451, ""dollar_volume_rank"": 0.3137254901960784, ""gap_fade"": -0.0980392156862746, ""gap_follow"": -0.07843137254901966, ""mom_10"": -0.5490196078431373, ""open_vs_vwap_snapback"": -0.6862745098039216, ""pv_corr_fade_6"": 0.8431372549019607, ""slope_12"": -0.4117647058823529, ""slope_6"": -0.607843137254902, ""slope_acceleration"": -0.3529411764705883}"
CRWD,SaaS,,,,-0.0067,0.131,-0.0018,59.63,767.56,2026-07-02 04:13:34.099781+08:00,watchlist,bearish,short,7.293,2026-07-02 04:13:34.087024+08:00,0.4104748796662261,long,0.0,0.4803921568627451,0.6375714285714286,37.331988075235266,"{""accumulation_pressure_6"": 0.7058823529411764, ""dollar_volume_rank"": 0.039215686274509776, ""gap_fade"": 0.7450980392156863, ""gap_follow"": 0.6470588235294117, ""mom_10"": 0.9019607843137254, ""open_vs_vwap_snapback"": 0.803921568627451, ""pv_corr_fade_6"": -0.4509803921568627, ""slope_12"": 0.8823529411764706, ""slope_6"": 0.8431372549019607, ""slope_acceleration"": -0.392156862745098}"
INTC,Foundry,,,,-0.0001,-0.0441,0.1768,94.8,127.01,2026-07-02 04:00:08.531506+08:00,watchlist,bullish,long,7.5,2026-07-02 04:00:08.518551+08:00,0.16593930531206316,long,1.0,0.9117647058823529,1.0,35.924574901256186,"{""accumulation_pressure_6"": 0.0, ""dollar_volume_rank"": -0.8235294117647058, ""gap_fade"": -0.5294117647058822, ""gap_follow"": -0.4509803921568627, ""mom_10"": 0.7843137254901962, ""open_vs_vwap_snapback"": 0.4901960784313726, ""pv_corr_fade_6"": -0.21568627450980393, ""slope_12"": 0.6862745098039216, ""slope_6"": -0.11764705882352944, ""slope_acceleration"": 0.9607843137254902}"
AVGO,Semi-Logic,C,bull,4.7776,0.0013,-0.024,-0.2321,40.44,369.82,2026-07-02 03:30:11.268003+08:00,watchlist,bullish,long,7.5,2026-07-02 03:30:11.259518+08:00,-0.2715682790488637,short,0.0,0.8627450980392157,0.3634285714285714,35.69361930933082,"{""accumulation_pressure_6"": -0.3137254901960784, ""dollar_volume_rank"": -0.7254901960784315, ""gap_fade"": -0.2941176470588236, ""gap_follow"": -0.21568627450980393, ""mom_10"": -0.039215686274509776, ""open_vs_vwap_snapback"": -0.2549019607843137, ""pv_corr_fade_6"": -0.1568627450980392, ""slope_12"": -0.2549019607843137, ""slope_6"": -0.43137254901960786, ""slope_acceleration"": -0.23529411764705888}"
UNH,Healthcare,C,bull,1.6516,-0.0002,0.0263,0.1284,40.42,426.46,2026-07-02 04:06:37.746486+08:00,,,,,,0.24338226898823676,long,1.0,0.5196078431372549,0.36314285714285716,35.56476947343428,"{""accumulation_pressure_6"": 0.7843137254901962, ""dollar_volume_rank"": -0.03921568627450989, ""gap_fade"": 0.3921568627450981, ""gap_follow"": 0.41176470588235303, ""mom_10"": 0.588235294117647, ""open_vs_vwap_snapback"": -0.3137254901960784, ""pv_corr_fade_6"": -0.6666666666666667, ""slope_12"": 0.6666666666666667, ""slope_6"": 0.33333333333333326, ""slope_acceleration"": 0.23529411764705888}"
ARM,Semi-Logic,,,,-0.0025,-0.0319,-0.1641,94.73,336.62,2026-07-02 03:32:39.544827+08:00,,,,,,-0.3939024567570904,short,0.0,0.7549019607843137,1.0,35.347681776917895,"{""accumulation_pressure_6"": 0.0980392156862746, ""dollar_volume_rank"": -0.5098039215686274, ""gap_fade"": -0.607843137254902, ""gap_follow"": -0.2941176470588235, ""mom_10"": -0.803921568627451, ""open_vs_vwap_snapback"": -0.41176470588235303, ""pv_corr_fade_6"": -0.019607843137254943, ""slope_12"": -0.8431372549019608, ""slope_6"": -0.5686274509803921, ""slope_acceleration"": 0.07843137254901966}"
SNPS,Semi-Cap,C,bear,1.5947,0.0029,0.0018,-0.1033,66.2,455.85,2026-07-02 04:02:45.903937+08:00,watchlist,bullish,long,6.719,2026-07-02 04:02:45.877141+08:00,0.1905350646917993,long,1.0,0.17647058823529413,0.7314285714285714,34.89707175531671,"{""accumulation_pressure_6"": 0.05882352941176472, ""dollar_volume_rank"": 0.6470588235294117, ""gap_fade"": 0.803921568627451, ""gap_follow"": 0.7450980392156863, ""mom_10"": 0.3137254901960784, ""open_vs_vwap_snapback"": 0.05882352941176472, ""pv_corr_fade_6"": -0.7843137254901961, ""slope_12"": 0.15686274509803932, ""slope_6"": -0.4509803921568627, ""slope_acceleration"": -0.13725490196078427}"
TSM,Foundry,C,bull,1.615,0.0092,0.0306,0.0036,100.0,448.3,2026-07-02 04:06:32.447249+08:00,watchlist,neutral,,7.5,2026-07-02 04:06:32.434292+08:00,0.12411169975549484,long,1.0,0.7941176470588235,1.0,34.83090721817876,"{""accumulation_pressure_6"": 0.3529411764705883, ""dollar_volume_rank"": -0.588235294117647, ""gap_fade"": -0.3529411764705883, ""gap_follow"": -0.4901960784313726, ""mom_10"": 0.5490196078431373, ""open_vs_vwap_snapback"": 0.7058823529411764, ""pv_corr_fade_6"": 0.4901960784313726, ""slope_12"": 0.5490196078431373, ""slope_6"": 0.392156862745098, ""slope_acceleration"": 0.05882352941176472}"
