ticker,category_token,kind,extreme_date,entry,period,horizon,mom_bucket,trend_agree,depth_favorable,gamma_regime,signed_ret,signed_baseline,edge,state_edge,correct
RSP,3B,3B,2022-04-12,confirmation,H1,1,0,False,True,,0.0030185707723604516,0.00038557326903472115,0.0026329975033257303,0.0022023767644847453,1
RSP,3B,3B,2022-04-12,confirmation,H1,3,0,False,True,,-0.019161362294113804,0.001165791703621749,-0.020327153997735554,-0.022302271693122804,0
RSP,3B,3B,2022-04-12,confirmation,H1,5,0,False,True,,-0.03241682525100076,0.0019398389714503205,-0.03435666422245108,-0.03775997890302657,0
RSP,3B,3B,2022-04-12,confirmation,H1,10,0,False,True,,-0.03372924732593996,0.0039090265635026,-0.03763827388944256,-0.0440609120198438,0
RSP,3B,3B,2022-04-12,confirmation,H1,20,0,False,True,,-0.07349563619660071,0.007739324749472312,-0.08123496094607302,-0.09246064190401442,0
RSP,3B,3B,2022-04-12,extreme,H1,1,3,True,False,,0.011301259283177378,0.00038557326903472115,0.010915686014142657,0.011051594474459232,1
RSP,3B,3B,2022-04-12,extreme,H1,3,3,True,False,,0.0022602518566354757,0.001165791703621749,0.0010944601530137267,0.0014644465980383574,1
RSP,3B,3B,2022-04-12,extreme,H1,5,3,True,False,,0.026541814659347684,0.0019398389714503205,0.024601975687897362,0.02504261809371657,1
RSP,3B,3B,2022-04-12,extreme,H1,10,3,True,False,,-0.03474329996771064,0.0039090265635026,-0.03865232653121324,-0.03681127855379382,0
RSP,3B,3B,2022-04-12,extreme,H1,20,3,True,False,,-0.09157248950597352,0.007739324749472312,-0.09931181425544583,-0.0961324316569604,0
RSP,3S,3S,2022-05-27,confirmation,H1,1,0,True,False,,0.03538779121203195,-0.00038557326903472115,0.03577336448106667,0.036203985219907656,1
RSP,3S,3S,2022-05-27,confirmation,H1,3,0,True,False,,0.01647359825172756,-0.001165791703621749,0.017639389955349312,0.01961450765073656,1
RSP,3S,3S,2022-05-27,confirmation,H1,5,0,True,False,,0.008839019957954664,-0.0019398389714503205,0.010778858929404984,0.014182173609980473,1
RSP,3S,3S,2022-05-27,confirmation,H1,10,0,True,False,,0.005058791870746759,-0.0039090265635026,0.00896781843424936,0.015390456564650599,1
RSP,3S,3S,2022-05-27,confirmation,H1,20,0,True,False,,-0.006948991465090204,-0.007739324749472312,0.000790333284382108,0.012016014242323503,0
RSP,3S,3S,2022-05-27,extreme,H1,1,2,True,False,,0.009378741519223022,-0.00038557326903472115,0.009764314788257743,0.009682445338199851,1
RSP,3S,3S,2022-05-27,extreme,H1,3,2,True,False,,0.0026606358919780693,-0.001165791703621749,0.003826427595599818,0.0031659930887647098,1
RSP,3S,3S,2022-05-27,extreme,H1,5,2,True,False,,0.01084209125981106,-0.0019398389714503205,0.01278193023126138,0.01055034326294256,1
RSP,3S,3S,2022-05-27,extreme,H1,10,2,True,False,,0.10170280697086598,-0.0039090265635026,0.10561183353436858,0.10163585002940244,1
