scope,horizon,std,mad,mean,n,cov_1.0,cov_1.0_nominal,cov_1.96,cov_1.96_nominal,pit_ks_stat,pit_ks_p,pit_ks_n_indep,k_ci_lo,k_ci_hi,ci_n_dates
ticker:GS,5,0.8832837583885793,0.8400396812901636,0.13829006249985817,149,0.7449664429530202,0.6826894921370859,0.959731543624161,0.950004209703559,0.19091432318568433,0.19704943223285298,30,0.7406526627502967,0.9712703426365368,149
ticker:HD,5,0.9066969340295216,0.8844046824195383,0.030923023374592126,149,0.7315436241610739,0.6826894921370859,0.9731543624161074,0.950004209703559,0.13297396410126286,0.6163965171519035,30,0.7335317159010996,1.0680476257236493,149
ticker:HIMS,5,1.2401170803207955,0.8361835048668895,0.06376812800642306,149,0.7114093959731543,0.6826894921370859,0.8926174496644296,0.950004209703559,0.159489871345029,0.3890981078724475,30,0.9037966503175796,1.5496204820289,149
ticker:HOOD,5,1.0694839923983257,0.7802782569027189,-0.011390436159894041,149,0.7181208053691275,0.6826894921370859,0.9194630872483222,0.950004209703559,0.11775421693567772,0.7563801372313355,30,0.8223885319004792,1.3217405915485454,149
ticker:HUT,5,0.8879445681249936,0.6806010773672329,0.24770190801800673,149,0.7651006711409396,0.6826894921370859,0.9530201342281879,0.950004209703559,0.25822111080293253,0.029796445756838152,30,0.698110127234541,1.0215936445750218,149
ticker:HYG,5,0.6693776687338652,0.6594106654876003,-0.08079252047321307,149,0.87248322147651,0.6826894921370859,0.9932885906040269,0.950004209703559,0.20290302107165392,0.14686790618026213,30,0.5657693471061254,0.7466450959645037,149
ticker:IBM,5,1.6019928104725618,1.268011959886585,-0.10117974651475392,149,0.5906040268456376,0.6826894921370859,0.8590604026845637,0.950004209703559,0.11594351371607475,0.772372978884393,30,1.137818751708943,2.0860885193507466,149
ticker:IGV,5,1.0905025023605508,0.981441887348887,0.07934544359631755,132,0.6212121212121212,0.6826894921370859,0.9242424242424242,0.950004209703559,0.14347384134539332,0.5851099916193867,27,0.855284846031706,1.2577416222944575,132
ticker:INTC,5,1.0812054544389307,1.1494706571010187,0.4186087339598924,149,0.6375838926174496,0.6826894921370859,0.9060402684563759,0.950004209703559,0.2114820058037593,0.11767166528396389,30,0.8830425942873822,1.2382334858292996,149
ticker:IREN,5,0.9044407198868923,0.9385140026386113,0.10281126251204815,149,0.7181208053691275,0.6826894921370859,0.9731543624161074,0.950004209703559,0.13808218656077503,0.5694377836456048,30,0.7439355659614233,1.011497137266765,149
ticker:ISRG,5,0.7758328468263348,0.7703909171876522,-0.19132910522479,149,0.7516778523489933,0.6826894921370859,0.9865771812080537,0.950004209703559,0.20539809897904582,0.137833257113541,30,0.6364481012172135,0.8624297412335403,149
ticker:IWM,5,0.7670024208546542,0.7307452234414993,0.22065572568576283,149,0.7718120805369127,0.6826894921370859,0.9865771812080537,0.950004209703559,0.22249747982613952,0.08731426272615184,30,0.6307213632200264,0.8675341659141942,149
ticker:JNJ,5,0.9698303344591328,1.0666856548789116,0.26216788244621697,149,0.6912751677852349,0.6826894921370859,0.9530201342281879,0.950004209703559,0.16061162616491453,0.3806580693007401,30,0.7969991164143269,1.12379475560654,149
ticker:JPM,5,0.7686865422367808,0.7933784870591042,0.11765404861198574,149,0.7718120805369127,0.6826894921370859,1.0,0.950004209703559,0.1487301083456311,0.475568182908631,30,0.644300185762186,0.8662492280034477,149
