entry_index,entry_date,entry_price,pivot_index,confirm_lag_bars,resistance,support,stretch,down,outcome,ticker,k_atr,null_hit
104,2025-12-01,53.24,98,5,54.11,51.0,56.03198,49.07802,hit,BAC,2.0,0.61
147,2026-02-03,54.45,140,6,57.25,51.72,60.66754,48.302459999999996,stop,BAC,2.0,0.3475
189,2026-04-06,50.06,174,14,56.53,46.72,62.592580000000005,40.657419999999995,neither,BAC,2.0,0.045
225,2026-05-27,51.1,218,6,54.32,49.77,57.1319,46.9581,hit,BAC,2.0,0.2175
15,2025-07-25,34.34,9,5,28.71,24.31,31.4292,21.590799999999998,hit,BE,2.0,0.9925
62,2025-10-01,90.19,58,3,86.27,68.69,97.13444,57.825559999999996,hit,BE,2.0,0.98
83,2025-10-30,127.85,77,5,116.58,94.37,130.30578,80.64422,hit,BE,2.0,0.9875
108,2025-12-05,119.18,99,8,142.37,89.99,174.74084000000002,57.61915999999999,stop,BE,2.0,0.8225
127,2026-01-05,103.87,116,10,119.18,76.97,145.26578,50.88422,hit,BE,2.0,0.7825
163,2026-02-26,168.57,149,13,168.89,136.6,188.84521999999998,116.64478,stop,BE,2.0,0.8175
179,2026-03-20,150.12,169,9,174.77,135.19,199.23044000000002,110.72955999999999,stop,BE,2.0,0.6
193,2026-04-10,166.7,185,7,166.69,119.51,195.84724,90.35276000000002,hit,BE,2.0,0.8775
241,2026-06-18,328.91,235,5,307.88,234.23,353.3957,188.71429999999998,stop,BE,2.0,0.91
273,2026-08-05,234.33,268,4,345.85,163.75,458.3878,51.21219999999998,neither,BE,2.0,0.495
50,2025-09-15,19.7,47,2,28.29,15.47,36.212759999999996,7.547240000000001,stop,BKSY,2.0,0.0325
102,2025-11-26,17.75,95,6,31.63,13.14,43.05682,1.7131800000000013,neither,BKSY,2.0,0.03
168,2026-03-05,24.36,164,3,28.3,18.85,34.140100000000004,13.009900000000002,hit,BKSY,2.0,0.4025
189,2026-04-06,30.93,185,3,28.14,21.91,31.99014,18.05986,hit,BKSY,2.0,0.8625
212,2026-05-07,32.24,205,6,40.66,31.22,46.493919999999996,25.38608,stop,BKSY,2.0,0.175
215,2026-05-12,40.31,212,2,40.51,32.24,45.62085999999999,27.129140000000007,hit,BKSY,2.0,0.6725
273,2026-08-05,25.18,268,4,51.63,20.61,70.80036000000001,1.4396399999999971,neither,BKSY,2.0,0.0325
10,2025-07-18,1103.59,7,2,1111.46,1046.16,1151.8154,1005.8046000000002,hit,BLK,2.0,0.5575
55,2025-09-22,1136.21,44,10,1160.16,1099.15,1197.86418,1061.4458200000001,hit,BLK,2.0,0.5075
72,2025-10-15,1202.59,69,2,1179.27,1132.36,1208.26038,1103.36962,hit,BLK,2.0,0.945
