entry_date,spot,vix,rv,vrp_z,w,short_put,long_put,width,credit_pts,credit_usd,max_loss_usd,contracts,margin_usd,exit_date,exit_spot,breached,net_pnl_usd,ror
2009-04-07,815.55,40.39,0.3931,0.136,0.273,753.2,704.9,48.3,10.71,2142.0,3762.0,2,7524.0,2009-05-20,903.47,False,2034.0,0.27
2009-04-22,843.55,38.1,0.3361,0.51,1.0,782.4,734.9,47.4,10.402,7281.0,3704.0,7,25929.0,2009-06-04,942.46,False,6913.0,0.267
2009-04-29,873.64,36.08,0.2997,0.679,1.0,813.4,766.6,46.8,10.161,7112.0,3662.0,7,25637.0,2009-06-11,944.89,False,6752.0,0.263
2009-05-06,919.53,32.45,0.2852,0.437,0.875,862.1,817.4,44.7,9.549,6684.0,3518.0,7,24626.0,2009-06-18,918.37,False,6345.0,0.258
2009-05-13,883.92,33.65,0.2962,0.446,0.892,826.8,782.4,44.4,9.542,6679.0,3490.0,7,24429.0,2009-06-25,920.26,False,6340.0,0.26
2009-05-20,903.47,29.03,0.258,0.362,0.724,852.7,813.1,39.7,8.337,5002.0,3135.0,6,18813.0,2009-07-02,896.42,False,4746.0,0.252
2009-05-28,906.83,31.67,0.2765,0.449,0.898,851.5,808.3,43.1,9.177,5506.0,3397.0,6,20381.0,2009-07-10,879.13,False,5225.0,0.256
2009-06-04,942.46,30.18,0.2706,0.359,0.718,887.5,844.6,42.9,9.062,5437.0,3384.0,6,20307.0,2009-07-17,940.38,False,5160.0,0.254
2009-06-11,944.89,28.11,0.2168,0.729,1.0,893.5,853.2,40.3,8.428,6742.0,3187.0,8,25497.0,2009-07-24,979.26,False,6396.0,0.251
2009-06-18,918.37,30.03,0.2127,0.966,1.0,865.1,823.5,41.6,8.784,7027.0,3284.0,8,26269.0,2009-07-31,987.48,False,6668.0,0.254
2009-06-25,920.26,26.36,0.2102,0.582,1.0,873.2,836.3,37.0,7.67,6903.0,2932.0,9,26385.0,2009-08-07,1010.48,False,6547.0,0.248
2009-07-02,896.42,27.95,0.2034,0.82,1.0,847.9,809.9,38.0,7.947,6358.0,3008.0,8,24067.0,2009-08-14,1004.09,False,6031.0,0.251
2009-07-10,879.13,29.02,0.2104,0.853,1.0,829.8,791.2,38.6,8.109,4866.0,3050.0,6,18300.0,2009-08-21,1026.13,False,4616.0,0.252
2009-07-17,940.38,24.34,0.2379,0.063,0.126,896.0,860.9,35.1,7.209,721.0,2789.0,1,2789.0,2009-08-28,1028.93,False,684.0,0.245
2009-07-24,979.26,23.09,0.211,0.219,0.438,935.4,900.6,34.8,7.104,2842.0,2769.0,4,11078.0,2009-09-04,1016.4,False,2694.0,0.243
2009-07-31,987.48,25.92,0.1734,0.925,1.0,937.9,898.8,39.1,8.086,7278.0,3099.0,9,27890.0,2009-09-14,1049.34,False,6904.0,0.248
2009-08-07,1010.48,24.76,0.1551,0.965,1.0,962.0,923.6,38.3,7.886,7098.0,3044.0,9,27392.0,2009-09-21,1064.66,False,6732.0,0.246
2009-08-14,1004.09,24.27,0.1388,1.047,1.0,956.8,919.4,37.4,7.674,6907.0,2970.0,9,26734.0,2009-09-28,1062.98,False,6550.0,0.245
2009-08-21,1026.13,25.01,0.1651,0.814,1.0,976.4,937.1,39.3,8.093,7284.0,3119.0,9,28068.0,2009-10-05,1040.46,False,6909.0,0.246
2009-08-28,1028.93,24.76,0.1599,0.817,1.0,979.5,940.5,39.0,8.03,5621.0,3099.0,7,21694.0,2009-10-12,1076.19,False,5332.0,0.246
2009-09-04,1016.4,25.26,0.1765,0.674,1.0,966.6,927.3,39.3,8.101,2430.0,3117.0,3,9350.0,2009-10-19,1097.91,False,2305.0,0.247
2009-09-14,1049.34,23.86,0.1679,0.606,1.0,1000.8,962.3,38.4,7.878,7090.0,3057.0,9,27513.0,2009-10-26,1066.95,False,6725.0,0.244
2009-09-21,1064.66,24.06,0.1292,1.001,1.0,1015.0,975.7,39.3,8.063,7257.0,3125.0,9,28125.0,2009-11-02,1042.88,False,6884.0,0.245
2009-09-28,1062.98,24.88,0.155,0.784,1.0,1011.7,971.2,40.5,8.338,6671.0,3216.0,8,25725.0,2009-11-09,1093.08,False,6328.0,0.246
2009-10-05,1040.46,26.84,0.1607,0.889,1.0,986.3,943.8,42.5,8.839,7071.0,3368.0,8,26947.0,2009-11-16,1109.3,False,6709.0,0.249
2009-10-12,1076.19,23.01,0.161,0.472,0.945,1028.2,990.1,38.1,7.779,6223.0,3034.0,8,24273.0,2009-11-23,1106.24,False,5902.0,0.243
2009-10-19,1097.91,21.49,0.1685,0.204,0.409,1052.2,1015.7,36.5,7.39,2217.0,2909.0,3,8727.0,2009-12-01,1108.86,False,2102.0,0.241
2009-10-26,1066.95,24.31,0.1678,0.493,0.987,1016.6,976.9,39.8,8.169,6535.0,3161.0,8,25289.0,2009-12-08,1091.94,False,6199.0,0.245
2009-11-02,1042.88,29.78,0.196,0.773,1.0,982.9,936.0,46.9,9.887,6921.0,3701.0,7,25910.0,2009-12-15,1107.93,False,6569.0,0.254
2009-12-01,1108.86,21.92,0.1547,0.262,0.525,1061.8,1024.2,37.5,7.619,3810.0,2991.0,5,14957.0,2010-01-14,1148.46,False,3613.0,0.242
2009-12-08,1091.94,23.69,0.1348,0.8,1.0,1041.8,1002.0,39.7,8.137,7323.0,3161.0,9,28446.0,2010-01-22,1091.76,False,6947.0,0.244
2009-12-15,1107.93,21.49,0.1236,0.622,1.0,1061.8,1025.0,36.8,7.457,6711.0,2936.0,9,26420.0,2010-01-29,1073.87,False,6364.0,0.241
2009-12-22,1118.02,19.54,0.1192,0.328,0.657,1075.9,1041.9,34.0,6.816,4090.0,2715.0,6,16291.0,2010-02-05,1066.19,True,-1927.0,-0.118
2009-12-30,1126.42,19.96,0.0923,0.929,1.0,1083.0,1048.1,34.9,7.021,7021.0,2790.0,10,27896.0,2010-02-12,1075.51,True,-826.0,-0.03
2010-01-07,1141.69,19.06,0.0976,0.618,1.0,1099.7,1065.9,33.9,6.783,6783.0,2710.0,10,27099.0,2010-02-22,1108.01,False,6426.0,0.237
2010-01-14,1148.46,17.63,0.102,0.263,0.526,1109.6,1077.9,31.7,6.294,3147.0,2536.0,5,12682.0,2010-03-01,1115.71,False,2976.0,0.235
2010-01-22,1091.76,27.31,0.1513,1.413,1.0,1034.0,988.7,45.3,9.445,6612.0,3589.0,7,25126.0,2010-03-08,1138.5,False,6275.0,0.25
2010-01-29,1073.87,24.62,0.1586,0.626,1.0,1022.6,982.1,40.5,8.331,6665.0,3218.0,8,25744.0,2010-03-15,1150.51,False,6323.0,0.246
2010-02-05,1066.19,26.11,0.1912,0.226,0.453,1012.2,969.7,42.5,8.798,2639.0,3368.0,3,10103.0,2010-03-22,1165.81,False,2504.0,0.248
2010-03-08,1138.5,17.79,0.117,0.139,0.278,1099.6,1068.0,31.7,6.298,1889.0,2536.0,3,7607.0,2010-04-20,1207.17,False,1787.0,0.235
2010-03-15,1150.51,18.0,0.0979,0.629,1.0,1110.7,1078.4,32.3,6.442,7086.0,2590.0,11,28494.0,2010-04-27,1183.71,False,6706.0,0.235
2010-03-22,1165.81,16.87,0.0884,0.555,1.0,1128.2,1097.4,30.8,6.105,6715.0,2472.0,11,27187.0,2010-05-04,1173.6,False,6347.0,0.233
2010-03-29,1173.22,17.59,0.07,1.222,1.0,1133.6,1101.4,32.3,6.415,7056.0,2586.0,11,28443.0,2010-05-11,1155.79,False,6676.0,0.235
2010-04-06,1189.44,16.23,0.0652,0.952,1.0,1152.6,1122.3,30.3,5.985,6583.0,2432.0,11,26757.0,2010-05-18,1120.8,True,-27120.0,-1.014
2010-04-13,1197.3,16.2,0.0717,0.73,1.0,1160.3,1129.9,30.5,6.013,6013.0,2444.0,10,24443.0,2010-05-25,1074.03,True,-24774.0,-1.014
2010-04-27,1183.71,22.81,0.1294,0.985,1.0,1131.4,1089.8,41.6,8.478,6783.0,3311.0,8,26487.0,2010-06-09,1055.69,True,-26835.0,-1.013
2010-06-30,1030.71,34.54,0.2374,1.108,1.0,962.5,909.4,53.1,11.441,6864.0,4162.0,6,24973.0,2010-08-12,1083.61,False,6519.0,0.261
2010-08-19,1075.63,26.44,0.1651,0.971,1.0,1020.5,977.2,43.4,8.994,7195.0,3436.0,8,27487.0,2010-10-01,1146.24,False,6828.0,0.248
2010-08-26,1047.22,27.37,0.1628,1.262,1.0,991.7,948.1,43.6,9.081,7265.0,3450.0,8,27598.0,2010-10-08,1165.15,False,6894.0,0.25
